signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_1-5_0-03_0-04.0,-0.05,7519,23.616073536201572,0.27235016959412117,7335,23.038156588381238,0.2689971425717418,0.9755286607261604
Signal_1-5_0-03_0-06.0,-0.05,8113,39.088725220683095,0.43397106035420824,7941,38.26002304664668,0.4293462057637394,0.978799457660545
Signal_1-5_0-03_0-08.0,-0.05,8116,47.931553196491905,0.5320475934296105,7947,46.93347132239049,0.5264790212869332,0.9791769344504683
Signal_1-5_0-03_0-1.0,-0.05,8402,55.96641094702365,0.6105709233584097,8208,54.67416103941562,0.6034807949340911,0.9769102594620328
Signal_1-5_0-03_0-15.0,-0.05,8267,61.66461663145687,0.678206686208504,8081,60.27721870071404,0.6705337646606767,0.977500907221483
Signal_1-5_0-03_0-2.0,-0.05,8534,66.7034676593612,0.7220580140786965,8338,65.171492072153,0.7137181131819739,0.9770330442934146
Signal_1-5_0-03_0-3.0,-0.05,8665,69.51903233360092,0.7468260098898021,8446,67.76200197225545,0.7373279377051788,0.9747259088286211
Signal_1-5_0-03_0-4.0,-0.05,9050,73.78045359400738,0.7755629096338486,8852,72.16625140487882,0.7670319320883707,0.9781215469613259
Signal_1-5_0-03_0-5.0,-0.05,8770,72.2386949760019,0.7713830558869218,8566,70.55834220803104,0.7623586517419361,0.9767388825541619
Signal_1-5_0-03_0-6.0,-0.05,8910,74.06024322495733,0.7845963473936238,8712,72.4144600421805,0.7758296326028502,0.9777777777777776
Signal_1-5_0-03_0-7.0,-0.05,8768,73.03285883238345,0.7799522776049248,8570,71.38362228484559,0.7710955042049438,0.9774178832116787
Signal_1-5_0-03_0-8.0,-0.05,8719,73.49469967295728,0.7870868936703609,8517,71.79198957616438,0.7779159309620076,0.9768322055281571
Signal_1-5_0-03_0-9.0,-0.05,8798,74.33996209819502,0.7925567270414546,8621,72.84437522715835,0.7845438100804999,0.9798817913162081
Signal_1-5_0-03_1-0.0,-0.05,8863,76.09873721125717,0.8083269813391816,8667,74.41585867200338,0.7993391771321204,0.977885591786077
Signal_1-5_0-03_2-0.0,-0.05,27505,84.10977782185624,0.5071549411649364,26102,79.81942994750378,0.4940509391145654,0.9489910925286311
Signal_1-5_0-05_0-04.0,-0.05,8214,28.882907922659214,0.31868642656894025,8022,28.207777861647457,0.31493979904846603,0.9766252739225713
Signal_1-5_0-05_0-06.0,-0.05,167244,55.40744811973016,0.13548551779139875,163609,54.20318324974846,0.1340050599845859,0.9782652890387696
Signal_1-5_0-05_0-08.0,-0.05,170100,81.96840742741101,0.1987441437201542,166336,80.15459740062221,0.1965329216245233,0.9778718400940624
Signal_1-5_0-05_0-1.0,-0.05,170708,104.00202072245239,0.25171832922264326,166921,101.69483153110853,0.24891060034024193,0.9778159195819763
Signal_1-5_0-05_0-15.0,-0.05,172886,142.68647306753508,0.34316492338655474,169120,139.57831360076312,0.33940673959764106,0.9782168596647502
Signal_1-5_0-05_0-2.0,-0.05,175336,165.0766393382247,0.39423036447691157,171380,161.3521150806734,0.38975760097656076,0.9774376055117032
Signal_1-5_0-05_0-3.0,-0.05,178112,186.51865018333123,0.4419525801556111,174243,182.46703851449755,0.43712611537169654,0.9782777128997485
Signal_1-5_0-05_0-4.0,-0.05,177918,194.1432033666486,0.4602695531340229,174003,189.87117557193176,0.4551773795571336,0.9779954810643104
Signal_1-5_0-05_0-5.0,-0.05,180028,200.72136837605333,0.4730680096114159,176143,196.38980597386606,0.46793577195400987,0.9784200235518918
Signal_1-5_0-05_0-6.0,-0.05,174106,196.99166582188352,0.47210759130766744,170269,192.650304686951,0.46687638500393264,0.9779617014921945
Signal_1-5_0-05_0-7.0,-0.05,176462,201.98741625348615,0.4808379260787472,172657,197.6320189506985,0.47562558908667557,0.9784372839478188
Signal_1-5_0-05_0-8.0,-0.05,175896,203.56693852341152,0.48537707877887665,172144,199.224695645007,0.4801724370066281,0.9786692136262336
Signal_1-5_0-05_0-9.0,-0.05,176246,206.41228503891324,0.49167248732599633,172366,201.8681838056882,0.48623036174806306,0.9779853159788024
Signal_1-5_0-05_1-0.0,-0.05,175001,207.21183981599566,0.4953296230563142,170892,202.34653361886578,0.4894799451367464,0.9765201341706619
Signal_1-5_0-05_2-0.0,-0.05,11031,234.47320273059987,2.2324707288427335,10459,222.31486060731976,2.1738191611476325,0.948146133623425
Signal_1-5_0-07_0-04.0,-0.05,8398,30.42583417352092,0.3320125947626721,8193,29.683122098554048,0.3279352494484096,0.9755894260538224
Signal_1-5_0-07_0-06.0,-0.05,171481,63.02489516911619,0.1521963118072822,167591,61.595192506967834,0.150460143158814,0.9773152710795948
Signal_1-5_0-07_0-08.0,-0.05,172151,99.7336934890727,0.24037379929800354,168391,97.55538091744133,0.23773427005862238,0.9781587095050276
Signal_1-5_0-07_0-1.0,-0.05,173250,137.16557522700762,0.3295402808378587,169402,134.11903477405798,0.32586007455439897,0.9777893217893218
Signal_1-5_0-07_0-15.0,-0.05,174835,216.2975001774985,0.5172938452878815,171083,211.6557052241655,0.5117131185139708,0.9785397660651471
Signal_1-5_0-07_0-2.0,-0.05,177658,274.07478888813216,0.6502445246203187,173757,268.0566768332142,0.6430658905729284,0.9780420808519739
Signal_1-5_0-07_0-3.0,-0.05,178268,333.3406956579899,0.7894991038057576,174396,326.10050014568407,0.7808780317328984,0.9782798931945161
Signal_1-5_0-07_0-4.0,-0.05,173331,351.404606279518,0.8440522437721316,169417,343.46951313992935,0.8344680266033098,0.9774189267932452
Signal_1-5_0-07_0-5.0,-0.05,178580,376.1973901329512,0.890224144565065,174668,367.9563542375536,0.8804194603589593,0.9780938514951283
Signal_1-5_0-07_0-6.0,-0.05,175008,378.4519939860689,0.9046526234056577,171193,370.2021176543763,0.8947380307905424,0.9782009965258731
Signal_1-5_0-07_0-7.0,-0.05,175287,385.89643188550014,0.9217134158844053,171394,377.325945715218,0.9114206454608303,0.9777907089516051
Signal_1-5_0-07_0-8.0,-0.05,87476,390.8046153368247,1.3213419587170285,85599,382.41899799049867,1.307088861153031,0.9785426859938726
Signal_1-5_0-07_0-9.0,-0.05,87271,395.4228679739739,1.3385259815171728,85374,386.82760516563405,1.3238983600123182,0.9782631114574143
Signal_1-5_0-07_1-0.0,-0.05,82358,405.2615915960031,1.4121555913405464,80533,396.2812569028014,1.396421712734785,0.9778406469316885
Signal_1-5_0-08_0-04.0,-0.05,8560,31.112644853858527,0.3362792338336532,8378,30.45113768523677,0.33268509572894533,0.9787383177570094
Signal_1-5_0-08_0-06.0,-0.05,87116,65.82280350384411,0.22301157894895487,85241,64.40609754202644,0.22059858248586445,0.9784769732310941
Signal_1-5_0-08_0-08.0,-0.05,174237,106.25627986010205,0.254556630875484,170376,103.90169675467753,0.25172041024174663,0.9778405275572927
