sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.04,1180,43925.58745010887,1278.7232883493937
sel_ttbar.2_v2.root,0.04,960,10975.922779097202,354.2463844391842
sel_ttbar.3_v2.root,0.04,2952,22284.139483387196,410.14525506919847
sel_ttbar.4_v2.root,0.04,14136,23602.738832029067,198.5176532624534
sel_ttbar.5_v2.root,0.04,1500,9313.374187087073,240.47028749057523
sel_ttbar.6_v2.root,0.04,1045,2202.4095074192733,68.13024143127652
sel_ttbar.7_v2.root,0.04,302,110.58974716379484,6.363724849965344
sel_ttbar.8_v2.root,0.04,104,0.29202090845791384,0.02863500597315375
sel_ttbar.9_v2.root,0.04,110,0.005169265175287543,0.0004928700958526732
sel_wjets.2_v2.root,0.04,0,0.0,0.0
sel_wjets.3_v2.root,0.04,594,15228.33826530828,624.8262874048073
sel_wjets.4_v2.root,0.04,9615,47937.17804209422,488.87499012399945
sel_wjets.5_v2.root,0.04,8965,22280.964719291664,235.3200023241648
sel_wjets.6_v2.root,0.04,8266,9298.843466123677,102.27776673731296
sel_wjets.7_v2.root,0.04,1467,1704.1992670603565,44.49439615956141
sel_wjets.8_v2.root,0.04,1562,40.844550660360525,1.0334598475490007
sel_ww2l2v.0_v2.root,0.04,59,105.7412427886709,13.76633724441596
sel_wwlv2q.1_v2.root,0.04,33,424.5228693750001,73.89994600038692
sel_wwlv2q.2_v2.root,0.04,102,280.3009327199998,27.753927982677812
sel_wwlv2q.3_v2.root,0.04,1531,283.40454294,7.243012126386729
sel_wwlv2q.4_v2.root,0.04,18351,179.15715014039995,1.3225261801013835
sel_wwlv2q.5_v2.root,0.04,12234,16.70688372563265,0.15104668975737565
sel_wwlv2q.6_v2.root,0.04,7867,2.7748292949795923,0.03128467846539622
sel_wwlv2q.7_v2.root,0.04,7722,0.24720383285265313,0.0028131332341795666
sel_wz2l2q.1_v2.root,0.04,4,3.2031906976744184,1.6015953488372092
sel_wz2l2q.2_v2.root,0.04,4,0.6721984615384615,0.33609923076923076
sel_wz2l2q.3_v2.root,0.04,84,1.0085245714285715,0.11003905211415066
sel_wz2l2q.4_v2.root,0.04,1272,0.7796119151020409,0.021859232649379775
sel_wz2l2q.5_v2.root,0.04,1291,0.10515667505999998,0.002926669789550526
sel_wz2l2q.6_v2.root,0.04,759,0.015930403163265307,0.0005782370017816893
sel_wz2l2q.7_v2.root,0.04,906,0.0016482950448979596,5.476093493102589e-05
sel_wz2l2q.8_v2.root,0.04,44,4.8876432e-06,7.368399365241816e-07
sel_wz2l2q.9_v2.root,0.04,87,7.716699899999998e-09,8.273170690371559e-10
sel_wz3l1v.0_v2.root,0.04,50,4.6279102941176475,0.6544853503387235
sel_wzlv2q.1_v2.root,0.04,86,175.12885200000002,18.88462977909453
sel_wzlv2q.2_v2.root,0.04,180,152.16119999999998,11.341426224598035
sel_wzlv2q.3_v2.root,0.04,1717,71.66967474000003,1.7296183569362302
sel_wzlv2q.4_v2.root,0.04,23723,48.394734960600005,0.31420515883844324
sel_wzlv2q.5_v2.root,0.04,13586,3.726783539880001,0.031973366328226
sel_wzlv2q.6_v2.root,0.04,8592,0.6060553067755101,0.006538304223713465
sel_wzlv2q.7_v2.root,0.04,8312,0.05064267506938776,0.000555474172727087
sel_wzlv2q.9_v2.root,0.04,314,8.813295479999999e-08,4.973630375685888e-09
sel_zjets.1_v2.root,0.04,0,0.0,0.0
sel_zjets.2_v2.root,0.04,4,186.78396960939227,93.39198480469614
sel_zjets.3_v2.root,0.04,2136,35315.52836126242,764.1261880057654
sel_zjets.4_v2.root,0.04,22139,95673.28424139129,643.0010504291396
sel_zjets.5_v2.root,0.04,17004,41609.19714095435,319.090436368242
sel_zjets.6_v2.root,0.04,15549,16949.062891647096,135.92347196568048
sel_zjets.7_v2.root,0.04,10853,2778.8180234251718,26.673819348830897
sel_zjets.8_v2.root,0.04,10358,60.92047165829979,0.5985842751794869
sel_zz4l.0_v2.root,0.04,26,15.918679410358564,3.121909882463308
TOTAL,,239737,403249.94904069946,1965.2041801671226
