sample, xsec [pb], xsec_err [pb]
Signal_2-0_0-9_0-6.0, 0.017394195779606762, 2.104839984850945e-05
Signal_2-0_0-9_0-1.0, 0.000528932392453815, 6.575456866920903e-07
Signal_2-0_0-9_0-08.0, 0.0003343891180372655, 3.835815448351499e-07
Signal_2-0_0-9_0-15.0, 0.0011881454548830863, 1.4005964554955295e-06
Signal_2-0_0-9_0-3.0, 0.00469571063273648, 6.763350613032763e-06
Signal_2-0_0-9_0-2.0, 0.00208567205063846, 3.7091654135036803e-06
Signal_2-0_0-9_0-4.0, 0.00819640189378917, 9.724444776661084e-06
Signal_2-0_0-8_0-3.0, 0.004292983659542069, 5.4510607684670415e-06
Signal_2-0_0-6_0-4.0, 0.006346190794862088, 8.029847489636713e-06
Signal_2-0_0-4_0-9.0, 0.015607415516579622, 1.9707349353592685e-05
Signal_2-0_0-5_0-8.0, 0.01729296660705112, 2.1866899779216684e-05
Signal_2-0_0-6_0-1.0, 0.00043104125249720273, 5.458738335403545e-07
Signal_2-0_0-4_0-15.0, 0.0008827969975720196, 1.115108286283264e-06
Signal_2-0_0-5_0-4.0, 0.005827963557801277, 7.375113408056078e-06
Signal_2-0_0-4_1-0.0, 0.017293656261616573, 2.1866576429365818e-05
Signal_2-0_0-5_0-9.0, 0.02000397690806199, 2.541782224578534e-05
Signal_2-0_0-6_0-6.0, 0.012897156325266583, 1.636573510275816e-05
Signal_2-0_0-6_0-7.0, 0.01654838254853718, 2.102453521316228e-05
Signal_2-0_0-7_0-3.0, 0.003940464533678136, 5.0069429645945475e-06
Signal_2-0_0-7_0-08.0, 0.0002895955867982288, 3.636771171689253e-07
Signal_2-0_0-7_0-4.0, 0.006844115408294343, 8.476963460996627e-06
Signal_2-0_0-7_0-2.0, 0.0017938836738163304, 2.2745346425092414e-06
Signal_2-0_0-6_0-9.0, 0.024314226734067024, 2.941971283108672e-05
Signal_2-0_0-7_0-1.0, 0.00045380497096654955, 5.549777155318766e-07
Signal_2-0_0-6_0-5.0, 0.009397225328324599, 1.1937780191237584e-05
Signal_2-0_0-6_1-0.0, 0.028238401638601637, 3.5444792360725096e-05
Signal_2-0_0-7_0-15.0, 0.0010163121975790392, 1.288144662023248e-06
Signal_2-0_0-6_0-2.0, 0.0016943106768129137, 2.145521198275372e-06
Signal_2-0_0-7_0-6.0, 0.01438538701161626, 1.825222780032646e-05
Signal_2-0_0-7_0-5.0, 0.010334792686399903, 1.2518390006455072e-05
Signal_2-0_0-6_0-8.0, 0.020467947044375354, 2.5295604240597083e-05
Signal_2-0_0-8_0-08.0, 0.0003106339174806862, 4.052000127706859e-07
Signal_2-0_0-8_0-15.0, 0.0010924840019604942, 1.4222944473381129e-06
Signal_2-0_0-8_0-2.0, 0.001923610565546125, 2.4155308223934466e-06
Signal_2-0_0-7_0-8.0, 0.023534684044248414, 2.9938218145798297e-05
Signal_2-0_0-7_0-9.0, 0.028673214654395113, 3.8464538606721116e-05
Signal_2-0_0-8_0-4.0, 0.00751306463938387, 9.532292901931714e-06
Signal_2-0_0-8_0-5.0, 0.011505580829914418, 1.4623111288083836e-05
Signal_2-0_1-0_0-9.0, 0.03918507185265968, 0.00021039189493976914
Signal_2-0_0-8_0-6.0, 0.01613795466619733, 2.0482678185059578e-05
Signal_2-0_0-7_1-0.0, 0.03378892354162708, 4.2955878844745985e-05
Signal_2-0_1-0_0-15.0, 0.0012316493883839036, 4.398155058408156e-06
Signal_2-0_1-0_0-4.0, 0.008458307784933077, 5.379280724743186e-05
Signal_2-0_0-9_0-9.0, 0.03587494750143851, 0.00014411103701369605
Signal_2-0_0-8_0-9.0, 0.03270522401072825, 4.184667818644743e-05
Signal_2-0_0-9_1-0.0, 0.04263613128690211, 5.44030957456208e-05
Signal_2-0_1-0_0-8.0, 0.03130747491915882, 4.003249694885358e-05
Signal_2-0_0-2_0-4.0, 0.0032173770930293906, 4.038846690245645e-06
Signal_2-0_0-2_0-3.0, 0.0023128286752851614, 2.8992811533902396e-06
Signal_2-0_0-1_0-7.0, 0.0014956258860673037, 1.8829827912477374e-06
Signal_2-0_0-2_0-6.0, 0.004486227733707175, 5.6446638129798875e-06
Signal_2-0_0-2_0-9.0, 0.0055919460785075, 7.050947292569678e-06
Signal_2-0_0-2_0-1.0, 0.0003779662392637859, 4.729978431668351e-07
Signal_2-0_0-3_0-08.0, 0.00025227138582680126, 3.1725967611058503e-07
Signal_2-0_0-3_0-15.0, 0.000849061329500678, 1.0680704774335294e-06
Signal_2-0_0-2_0-5.0, 0.003921765594716158, 4.932474030966288e-06
Signal_2-0_0-2_0-15.0, 0.0007895887646363093, 9.89931676901066e-07
Signal_2-0_0-3_0-4.0, 0.004463551687920466, 5.630468674206476e-06
