model,bdt_cut,mx1,b0_ref,sigmab0_ref
v2_2500_4,0.139000,2.500000,0.336292,0.020660
v2_2500_4,0.140000,2.500000,0.328295,0.020616
v2_2500_4,0.141000,2.500000,0.311635,0.020163
v2_2500_4,0.142000,2.500000,0.298851,0.020025
v2_2500_4,0.143000,2.500000,0.289092,0.019946
v2_2500_4,0.144000,2.500000,0.279467,0.019886
v2_2500_4,0.145000,2.500000,0.253360,0.015279
v2_2500_4,0.146000,2.500000,0.241067,0.015149
v2_2500_4,0.147000,2.500000,0.228654,0.015013
v2_2500_4,0.148000,2.500000,0.215149,0.014861
v2_2500_4,0.149000,2.500000,0.206441,0.014776
v2_2500_4,0.150000,2.500000,0.197725,0.014694
v2_2500_4,0.151000,2.500000,0.189920,0.014626
v2_2500_4,0.152000,2.500000,0.175581,0.013883
v2_2500_4,0.153000,2.500000,0.169150,0.013821
v2_2500_4,0.154000,2.500000,0.162271,0.013754
v2_2500_4,0.155000,2.500000,0.153396,0.013664
v2_2500_4,0.156000,2.500000,0.145295,0.013592
v2_2500_4,0.157000,2.500000,0.138132,0.013514
v2_2500_4,0.158000,2.500000,0.131808,0.013446
v2_2500_4,0.159000,2.500000,0.126311,0.013392
v2_2500_4,0.160000,2.500000,0.121015,0.013344
v2_2500_4,0.161000,2.500000,0.115975,0.013304
v2_2500_4,0.162000,2.500000,0.110156,0.013254
v2_2500_4,0.163000,2.500000,0.105239,0.013213
v2_2500_4,0.164000,2.500000,0.098808,0.013153
v2_2500_4,0.165000,2.500000,0.090621,0.013071
v2_2500_4,0.166000,2.500000,0.085332,0.013026
v2_2500_4,0.167000,2.500000,0.078078,0.012955
v2_2500_4,0.168000,2.500000,0.073832,0.012920
v2_2500_4,0.169000,2.500000,0.069208,0.012879
v2_2500_4,0.170000,2.500000,0.064250,0.012837
v2_2500_4,0.171000,2.500000,0.060642,0.012804
v2_2500_4,0.172000,2.500000,0.044583,0.002973
v2_2500_4,0.173000,2.500000,0.040980,0.002828
v2_2500_4,0.174000,2.500000,0.036263,0.002654
v2_2500_4,0.175000,2.500000,0.033306,0.002475
v2_2500_4,0.176000,2.500000,0.029767,0.002307
v2_2500_4,0.177000,2.500000,0.026719,0.002175
v2_2500_4,0.178000,2.500000,0.022499,0.001928
v2_2500_4,0.179000,2.500000,0.021092,0.001895
v2_2500_4,0.180000,2.500000,0.018846,0.001754
v2_2500_4,0.190000,2.500000,0.005212,0.000980
v2_2500_4,0.200000,2.500000,0.000513,0.000209
v2_2500_4,0.210000,2.500000,0.000000,0.000000
v2_2500_4,0.220000,2.500000,0.000000,0.000000
v2_2500_4,0.230000,2.500000,0.000000,0.000000
v2_2500_4,0.240000,2.500000,0.000000,0.000000
v2_2500_4,0.250000,2.500000,0.000000,0.000000
v2_2500_4,0.260000,2.500000,0.000000,0.000000
v2_2500_4,0.270000,2.500000,0.000000,0.000000
v2_2500_4,0.280000,2.500000,0.000000,0.000000
v2_2500_4,0.290000,2.500000,0.000000,0.000000
v2_2500_4,0.300000,2.500000,0.000000,0.000000
