sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.13,23,856.1767045360203,178.5251838756455
sel_ttbar.2_v2.root,0.13,15,171.4987934233938,44.28079805489803
sel_ttbar.3_v2.root,0.13,22,166.07421024204558,35.40714059179636
sel_ttbar.4_v2.root,0.13,363,606.0974954744306,31.811868378847315
sel_ttbar.5_v2.root,0.13,45,279.4012256126123,41.65067556443709
sel_ttbar.6_v2.root,0.13,13,27.398395786077085,7.598947759396727
sel_ttbar.7_v2.root,0.13,0,0.0,0.0
sel_ttbar.8_v2.root,0.13,0,0.0,0.0
sel_ttbar.9_v2.root,0.13,0,0.0,0.0
sel_wjets.2_v2.root,0.13,0,0.0,0.0
sel_wjets.3_v2.root,0.13,0,0.0,0.0
sel_wjets.4_v2.root,0.13,287,1430.8861256454543,84.46253740543182
sel_wjets.5_v2.root,0.13,513,1274.9732181814416,56.29144272908896
sel_wjets.6_v2.root,0.13,190,213.74065552425583,15.50637692657929
sel_wjets.7_v2.root,0.13,9,10.455210227364152,3.485070075788051
sel_wjets.8_v2.root,0.13,0,0.0,0.0
sel_ww2l2v.0_v2.root,0.13,2,3.584448908090539,2.5345881297275357
sel_wwlv2q.1_v2.root,0.13,1,12.864329375000002,12.864329375000002
sel_wwlv2q.2_v2.root,0.13,2,5.49609672,3.8863272607691415
sel_wwlv2q.3_v2.root,0.13,21,3.8873255399999995,0.84828397799929
sel_wwlv2q.4_v2.root,0.13,1289,12.584249715599999,0.35051036811649317
sel_wwlv2q.5_v2.root,0.13,311,0.4247049892653062,0.024082810503725273
sel_wwlv2q.6_v2.root,0.13,48,0.016930444408163266,0.002443699159138264
sel_wwlv2q.7_v2.root,0.13,6,0.00019207757020408162,7.841533967226895e-05
sel_wz2l2q.1_v2.root,0.13,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.13,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.13,1,0.012006244897959185,0.012006244897959185
sel_wz2l2q.4_v2.root,0.13,42,0.02574190285714286,0.0039720618452558885
sel_wz2l2q.5_v2.root,0.13,16,0.00130325856,0.00032581464
sel_wz2l2q.6_v2.root,0.13,1,2.0988673469387754e-05,2.0988673469387754e-05
sel_wz2l2q.7_v2.root,0.13,1,1.8193102040816329e-06,1.8193102040816329e-06
sel_wz2l2q.8_v2.root,0.13,0,0.0,0.0
sel_wz2l2q.9_v2.root,0.13,0,0.0,0.0
sel_wz3l1v.0_v2.root,0.13,5,0.46279102941176464,0.20696644022836205
sel_wzlv2q.1_v2.root,0.13,4,8.145528,4.072764
sel_wzlv2q.2_v2.root,0.13,11,9.29874,2.8036756002790337
sel_wzlv2q.3_v2.root,0.13,37,1.5444251400000002,0.2539019289849347
sel_wzlv2q.4_v2.root,0.13,911,1.8584328942000001,0.06157262872731216
sel_wzlv2q.5_v2.root,0.13,293,0.08037299994000002,0.0046954407918619705
sel_wzlv2q.6_v2.root,0.13,41,0.002892023693877551,0.0004516582197438396
sel_wzlv2q.7_v2.root,0.13,1,6.092718367346939e-06,6.092718367346939e-06
sel_wzlv2q.9_v2.root,0.13,0,0.0,0.0
sel_zjets.1_v2.root,0.13,0,0.0,0.0
sel_zjets.2_v2.root,0.13,1,46.69599240234807,46.69599240234807
sel_zjets.3_v2.root,0.13,1,16.53348706051612,16.53348706051612
sel_zjets.4_v2.root,0.13,1017,4394.9469295584695,137.8139430691356
sel_zjets.5_v2.root,0.13,1271,3110.167582107327,87.2390675590306
sel_zjets.6_v2.root,0.13,393,428.3865017954408,21.609240491210226
sel_zjets.7_v2.root,0.13,32,8.19332689114581,1.448389251301824
sel_zjets.8_v2.root,0.13,0,0.0,0.0
sel_zz4l.0_v2.root,0.13,0,0.0,0.0
TOTAL,,7239,13101.916394632543,279.6142730139645
