signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_2-5_0-03_0-04.0,-0.08,148261,1.0713635787171507,0.002782424673318389,147472,1.0656621072337003,0.002775011187679193,0.9946783038020787
Signal_2-5_0-03_0-06.0,-0.08,147235,1.7345759352637398,0.004520513666481978,146556,1.7265766344178533,0.004510078050747965,0.9953883247869052
Signal_2-5_0-03_0-08.0,-0.08,149015,2.2395094348485864,0.005801468023720453,148294,2.2286737048715652,0.005787415980808546,0.9951615609166863
Signal_2-5_0-03_0-1.0,-0.08,150205,2.5824407078538933,0.00666328154829515,149476,2.569907175175051,0.0066470922055918485,0.9951466329349888
Signal_2-5_0-03_0-15.0,-0.08,150935,3.0244122729487746,0.007784774056075014,150190,3.0094840777432434,0.007765537858309885,0.995064100440587
Signal_2-5_0-03_0-2.0,-0.08,150764,3.2310903661601604,0.008321474346821046,150059,3.215981197471727,0.008301995181150285,0.9953238173569287
Signal_2-5_0-03_0-3.0,-0.08,149101,3.325351399699636,0.00861186606984089,148338,3.3083344573721476,0.008589802898879815,0.9948826634294874
Signal_2-5_0-03_0-4.0,-0.08,149239,3.401838060344267,0.00880587407361599,148476,3.3844458073806134,0.008783334751829729,0.9948873953859245
Signal_2-5_0-03_0-5.0,-0.08,149754,3.4618941359033077,0.00894591088013014,149010,3.4446949342985955,0.008923660906871285,0.9950318522376698
Signal_2-5_0-03_0-6.0,-0.08,145982,3.4239996451776,0.008961569068650192,145279,3.4075108194966264,0.008939965083156993,0.9951843377950705
Signal_2-5_0-03_0-7.0,-0.08,148269,3.525479229216445,0.009155730086910657,147536,3.508050257044139,0.009133070376427773,0.9950562828372755
Signal_2-5_0-03_0-8.0,-0.08,143761,3.488859295240985,0.009201590720701636,143048,3.471555877224229,0.009178744159022884,0.9950403795187845
Signal_2-5_0-03_0-9.0,-0.08,145421,3.5959392984534584,0.009429719811518246,144742,3.5791491320837463,0.009407679421135904,0.9953307981653269
Signal_2-5_0-03_1-0.0,-0.08,144076,3.6676383338077896,0.009662526143540993,143347,3.6490807090448456,0.009638049775134537,0.9949401704655876
Signal_2-5_0-03_2-0.0,-0.08,21857,5.368903725639907,0.0363153588667169,20412,5.0139572149774345,0.03509440178610666,0.9338884567872994
Signal_2-5_0-05_0-04.0,-0.08,147328,1.315699164620056,0.0034277879860707666,146594,1.3091442450743407,0.003419238565944524,0.9950179192006949
Signal_2-5_0-05_0-06.0,-0.08,149963,2.5583862680926317,0.0066065397964865085,149229,2.5458641424964514,0.006590351975396181,0.9951054593466389
Signal_2-5_0-05_0-08.0,-0.08,148581,3.7608024351452007,0.009756608552710584,147873,3.742881919574012,0.009733335296284467,0.9952349223655784
Signal_2-5_0-05_0-1.0,-0.08,150758,4.892374572956859,0.01260026029098584,150004,4.867905885205565,0.012568711367836459,0.9949986070390957
Signal_2-5_0-05_0-15.0,-0.08,151386,6.766666309631257,0.01739129425570492,150681,6.735154150327952,0.01735075163485,0.9953430303991121
Signal_2-5_0-05_0-2.0,-0.08,147686,7.63415465778689,0.019865124439933726,147005,7.598952544370908,0.01981927114025665,0.9953888655661336
Signal_2-5_0-05_0-3.0,-0.08,148497,8.609342553622158,0.022341439298642837,147846,8.571599824796605,0.022292413889773058,0.9956160730519809
Signal_2-5_0-05_0-4.0,-0.08,147989,9.002648904630842,0.023402141210996864,147268,8.9587881456539,0.02334506418092869,0.9951280162714797
Signal_2-5_0-05_0-5.0,-0.08,150113,9.445154833976785,0.02437810422567458,149427,9.401991508907617,0.02432233780543078,0.9954301093176474
Signal_2-5_0-05_0-6.0,-0.08,146961,9.381929521534392,0.024473220148010722,146224,9.334879746033607,0.024411777202492487,0.9949850640646158
Signal_2-5_0-05_0-7.0,-0.08,147271,9.622519307688433,0.025074378269308868,146536,9.574495245305812,0.02501172941012423,0.9950092007251936
Signal_2-5_0-05_0-8.0,-0.08,144115,9.604085526049579,0.02529888761752051,143388,9.555636924742025,0.025234995776470034,0.9949554175484856
Signal_2-5_0-05_0-9.0,-0.08,145686,9.956576008280315,0.026085616418629342,144967,9.907437599991574,0.026021166998543326,0.9950647282511703
Signal_2-5_0-05_1-0.0,-0.08,142937,10.04667408188546,0.02657357484749435,142211,9.995645409229331,0.026506003207295948,0.9949208392508586
