sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.138,9,335.0256669923558,111.67522233078527
sel_ttbar.2_v2.root,0.138,10,114.33252894892921,36.15512021257534
sel_ttbar.3_v2.root,0.138,7,52.841794167923574,19.97232088554129
sel_ttbar.4_v2.root,0.138,192,320.580493474079,23.13590427552532
sel_ttbar.5_v2.root,0.138,27,167.64073536756732,32.262474563870605
sel_ttbar.6_v2.root,0.138,11,23.183257972834458,6.990015283082477
sel_ttbar.7_v2.root,0.138,0,0.0,0.0
sel_ttbar.8_v2.root,0.138,0,0.0,0.0
sel_ttbar.9_v2.root,0.138,0,0.0,0.0
sel_wjets.2_v2.root,0.138,0,0.0,0.0
sel_wjets.3_v2.root,0.138,0,0.0,0.0
sel_wjets.4_v2.root,0.138,179,892.4342037997781,66.70366418920872
sel_wjets.5_v2.root,0.138,295,733.171733652096,42.68690868370436
sel_wjets.6_v2.root,0.138,95,106.8703277621279,10.964664276418832
sel_wjets.7_v2.root,0.138,6,6.970140151576102,2.8455478011744746
sel_wjets.8_v2.root,0.138,0,0.0,0.0
sel_ww2l2v.0_v2.root,0.138,1,1.7922244540452694,1.7922244540452694
sel_wwlv2q.1_v2.root,0.138,1,12.864329375000002,12.864329375000002
sel_wwlv2q.2_v2.root,0.138,1,2.74804836,2.74804836
sel_wwlv2q.3_v2.root,0.138,12,2.22132888,0.6412424134133451
sel_wwlv2q.4_v2.root,0.138,784,7.6540355135999985,0.2733584112
sel_wwlv2q.5_v2.root,0.138,197,0.2690253468979593,0.019167262338453634
sel_wwlv2q.6_v2.root,0.138,26,0.009170657387755101,0.0017985138835629653
sel_wwlv2q.7_v2.root,0.138,4,0.00012805171346938775,6.402585673469387e-05
sel_wz2l2q.1_v2.root,0.138,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.138,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.138,1,0.012006244897959185,0.012006244897959185
sel_wz2l2q.4_v2.root,0.138,25,0.015322561224489797,0.0030645122448979593
sel_wz2l2q.5_v2.root,0.138,10,0.0008145365999999999,0.0002575790893569507
sel_wz2l2q.6_v2.root,0.138,0,0.0,0.0
sel_wz2l2q.7_v2.root,0.138,1,1.8193102040816329e-06,1.8193102040816329e-06
sel_wz2l2q.8_v2.root,0.138,0,0.0,0.0
sel_wz2l2q.9_v2.root,0.138,0,0.0,0.0
sel_wz3l1v.0_v2.root,0.138,4,0.3702328235294117,0.18511641176470586
sel_wzlv2q.1_v2.root,0.138,2,4.072764,2.879879042572448
sel_wzlv2q.2_v2.root,0.138,3,2.5360199999999997,1.4641718296702748
sel_wzlv2q.3_v2.root,0.138,21,0.8765656200000002,0.19128230024980464
sel_wzlv2q.4_v2.root,0.138,558,1.1383156476000003,0.04818874393716804
sel_wzlv2q.5_v2.root,0.138,166,0.04553555628000001,0.003534244594505231
sel_wzlv2q.6_v2.root,0.138,21,0.0014812804285714283,0.0003232418899707237
sel_wzlv2q.7_v2.root,0.138,0,0.0,0.0
sel_wzlv2q.9_v2.root,0.138,0,0.0,0.0
sel_zjets.1_v2.root,0.138,0,0.0,0.0
sel_zjets.2_v2.root,0.138,1,46.69599240234807,46.69599240234807
sel_zjets.3_v2.root,0.138,1,16.53348706051612,16.53348706051612
sel_zjets.4_v2.root,0.138,628,2713.8905327067046,108.29602200170346
sel_zjets.5_v2.root,0.138,787,1925.80793636386,68.6476391292546
sel_zjets.6_v2.root,0.138,211,229.99885974259033,15.833774490337458
sel_zjets.7_v2.root,0.138,19,4.864787841617824,1.1160588728093395
sel_zjets.8_v2.root,0.138,0,0.0,0.0
sel_zz4l.0_v2.root,0.138,0,0.0,0.0
TOTAL,,4316,7727.469829135418,203.80362074106904
