signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_1-0_0-03_0-04.0,0.176,6351,1942.4482991935847,24.37409008605721,2,0.6116984094453107,0.4325360933598045,0.00031491103763186894
Signal_1-0_0-03_0-06.0,0.176,6791,2946.7600213497353,35.75838565313729,6,2.6035282179499952,1.0628859441525134,0.000883522308938301
Signal_1-0_0-03_0-08.0,0.176,7566,3709.837879140298,42.6502678329279,19,9.316272760199004,2.137299552219379,0.0025112344699973568
Signal_1-0_0-03_0-1.0,0.176,8041,4172.649269457435,46.53254979059427,14,7.264903590648437,1.941627156010732,0.001741076980475065
Signal_1-0_0-03_0-15.0,0.176,8958,4753.587493444537,50.22453942154483,14,7.429138748406288,1.9855208482387792,0.0015628488501897746
Signal_1-0_0-03_0-2.0,0.176,9145,4846.685848763855,50.68191494642023,12,6.359784601986468,1.8359116759724625,0.0013121924548933842
Signal_1-0_0-03_0-3.0,0.176,9613,5074.193818381889,51.75324439159511,16,8.445553010934175,2.1113882527335437,0.001664412774368043
Signal_1-0_0-03_0-4.0,0.176,9658,5120.472755011371,52.10344740214416,19,10.073408816029824,2.3109984761076685,0.0019672810105611925
Signal_1-0_0-03_0-5.0,0.176,9752,5128.929554314971,51.93736207075302,22,11.570595795214244,2.4668593122008917,0.0022559474979491376
Signal_1-0_0-03_0-6.0,0.176,9787,5190.004076453294,52.46176585702017,18,9.545322711368073,2.249854139274109,0.0018391744150403602
Signal_1-0_0-03_0-7.0,0.176,10092,5361.196321905963,53.367036890186874,15,7.9684844261384695,2.0574538317964968,0.0014863258026159333
Signal_1-0_0-03_0-8.0,0.176,9817,5253.163206885157,53.018995865640335,17,9.096849803101522,2.20631015285687,0.0017316899256391968
Signal_1-0_0-03_0-9.0,0.176,9998,5362.152242351681,53.626885380216066,23,12.335417240857032,2.572112298126843,0.0023004600920184027
