sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.11,38,141.4552816189947,22.947076810685548
sel_ttbar.2_v2.root,0.11,23,26.296481658253732,5.483195464733389
sel_ttbar.3_v2.root,0.11,32,24.15624876247935,4.270261826994574
sel_ttbar.4_v2.root,0.11,137,22.874753961431672,1.9543221215335966
sel_ttbar.5_v2.root,0.11,111,68.91896898444438,6.541499047060384
sel_ttbar.6_v2.root,0.11,202,42.57289191375057,2.995418222258299
sel_ttbar.7_v2.root,0.11,59,2.1605281730675143,0.2812768099950486
sel_ttbar.8_v2.root,0.11,10,0.002807893350556864,0.0008879338414601311
sel_ttbar.9_v2.root,0.11,5,2.3496659887670657e-05,1.0508025750604833e-05
sel_wjets.2_v2.root,0.11,0,0.0,0.0
sel_wjets.3_v2.root,0.11,0,0.0,0.0
sel_wjets.4_v2.root,0.11,34,16.951264206252766,2.9071178277492025
sel_wjets.5_v2.root,0.11,661,164.28017489628317,6.389758241451373
sel_wjets.6_v2.root,0.11,1423,160.08050147948217,4.243615100041852
sel_wjets.7_v2.root,0.11,205,23.814645517885012,1.6632869912704091
sel_wjets.8_v2.root,0.11,43,0.11244018427628057,0.0171469673500674
sel_ww2l2v.0_v2.root,0.11,6,1.0753346724271615,0.43900354169490685
sel_wwlv2q.1_v2.root,0.11,1,1.2864329375,1.2864329375
sel_wwlv2q.2_v2.root,0.11,4,1.099219344,0.549609672
sel_wwlv2q.3_v2.root,0.11,23,0.42575470200000015,0.0887759922195745
sel_wwlv2q.4_v2.root,0.11,663,0.6472736665199996,0.025138026196205067
sel_wwlv2q.5_v2.root,0.11,6817,0.9309369491387758,0.011275183559733235
sel_wwlv2q.6_v2.root,0.11,5360,0.1890566292244898,0.002582316769508196
sel_wwlv2q.7_v2.root,0.11,3128,0.01001364399330612,0.00017904358906529515
sel_wz2l2q.1_v2.root,0.11,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.11,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.11,0,0.0,0.0
sel_wz2l2q.4_v2.root,0.11,26,0.0015935463673469388,0.0003125201547275745
sel_wz2l2q.5_v2.root,0.11,306,0.002492481996,0.0001424857119357255
sel_wz2l2q.6_v2.root,0.11,353,0.0007409001734693879,3.9434137259944874e-05
sel_wz2l2q.7_v2.root,0.11,252,4.584661714285716e-05,2.888065414609301e-06
sel_wz2l2q.8_v2.root,0.11,16,1.7773248000000001e-07,4.4433120000000003e-08
sel_wz2l2q.9_v2.root,0.11,48,4.2574896e-10,6.14515691658008e-11
sel_wz3l1v.0_v2.root,0.11,4,0.037023282352941174,0.018511641176470587
sel_wzlv2q.1_v2.root,0.11,4,0.8145528,0.4072764
sel_wzlv2q.2_v2.root,0.11,12,1.014408,0.292834365934055
sel_wzlv2q.3_v2.root,0.11,40,0.16696487999999998,0.026399465502834712
sel_wzlv2q.4_v2.root,0.11,495,0.10097961389999999,0.004538696120198087
sel_wzlv2q.5_v2.root,0.11,5663,0.155342081454,0.002064266854407491
sel_wzlv2q.6_v2.root,0.11,4475,0.031565380561224494,0.0004718614629505795
sel_wzlv2q.7_v2.root,0.11,2754,0.0016779346383673471,3.197371293795636e-05
sel_wzlv2q.9_v2.root,0.11,190,5.3328858000000005e-09,3.86888199244893e-10
sel_zjets.1_v2.root,0.11,0,0.0,0.0
sel_zjets.2_v2.root,0.11,0,0.0,0.0
sel_zjets.3_v2.root,0.11,1,1.653348706051612,1.653348706051612
sel_zjets.4_v2.root,0.11,141,60.93289253370149,5.131475250339646
sel_zjets.5_v2.root,0.11,1819,445.1136767783813,10.436493075543673
sel_zjets.6_v2.root,0.11,3615,394.0501791324473,6.553863296911954
sel_zjets.7_v2.root,0.11,1911,48.92952402806139,1.119284907025017
sel_zjets.8_v2.root,0.11,327,0.19232471743834745,0.010635581176671368
sel_zz4l.0_v2.root,0.11,0,0.0,0.0
TOTAL,,41437,1652.5403681190485,29.75213660637681
