signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_1-0_0-03_0-04.0,0.144,6351,194.2448299193584,2.4374090086057207,559,17.096970543996438,0.7231248055521242,0.0880176350181074
Signal_1-0_0-03_0-06.0,0.144,6791,294.6760021349737,3.575838565313729,554,24.039243879071623,1.0213296054436807,0.0815785598586364
Signal_1-0_0-03_0-08.0,0.144,7566,370.98378791402985,4.26502678329279,691,33.881813038407955,1.2889249128345923,0.09132963256674595
Signal_1-0_0-03_0-1.0,0.144,8041,417.2649269457432,4.653254979059426,708,36.73965530127923,1.38076079886998,0.08804875015545333
Signal_1-0_0-03_0-15.0,0.144,8958,475.3587493444537,5.022453942154484,799,42.399156142690174,1.4999743183501228,0.089194016521545
Signal_1-0_0-03_0-2.0,0.144,9145,484.66858487638575,5.068191494642022,760,40.27863581258099,1.4610596834429035,0.08310552214324766
Signal_1-0_0-03_0-3.0,0.144,9613,507.419381838189,5.175324439159512,930,49.0897768760549,1.6097171974093236,0.09674399251014251
Signal_1-0_0-03_0-4.0,0.144,9658,512.0472755011372,5.210344740214417,872,46.2316446714632,1.565601039811322,0.09028784427417684
Signal_1-0_0-03_0-5.0,0.144,9752,512.8929554314971,5.193736207075301,861,45.2831044530885,1.5432440712802382,0.08828958162428222
Signal_1-0_0-03_0-6.0,0.144,9787,519.0004076453295,5.246176585702018,868,46.029667297041584,1.5623487102706182,0.0886890773475018
Signal_1-0_0-03_0-7.0,0.144,10092,536.119632190596,5.3367036890186865,946,50.25457511417993,1.6339171728080315,0.09373761395164487
Signal_1-0_0-03_0-8.0,0.144,9817,525.3163206885154,5.301899586564034,865,46.28691223342831,1.573802230711717,0.08811245798105326
Signal_1-0_0-03_0-9.0,0.144,9998,536.2152242351681,5.362688538021607,914,49.019875470188396,1.6214333661778702,0.09141828365673134
Signal_1-0_0-03_1-0.0,0.144,9765,526.1285889386357,5.324217363846722,902,48.59887221942135,1.618165443469434,0.09237071172555045
Signal_1-0_0-03_2-0.0,0.144,31679,552.5119026826254,3.1042444007923815,2262,39.451432301148984,0.8295001612489289,0.07140376905836673
Signal_1-0_0-05_0-04.0,0.144,7866,221.35258101505167,2.495787580573751,675,18.994786700376288,0.7311096809774518,0.08581235697940504
Signal_1-0_0-05_0-06.0,0.144,8051,416.36573134097534,4.640342799687274,670,34.649737920563105,1.3386361615764613,0.08321947584151039
Signal_1-0_0-05_0-08.0,0.144,8248,603.6787180749766,6.647089700463991,681,49.843017338634716,1.9099885744441656,0.08256547041707082
Signal_1-0_0-05_0-1.0,0.144,8670,770.7427864527481,8.277513924991318,814,72.36270221136527,2.5363113999675426,0.09388696655132642
Signal_1-0_0-05_0-15.0,0.144,9032,1046.821490381517,11.014902703531527,855,99.09570131490224,3.389001477792867,0.09466341895482729
Signal_1-0_0-05_0-2.0,0.144,9120,1157.2703031295703,12.118179735393392,789,100.11910846153847,3.5643346460618694,0.08651315789473683
Signal_1-0_0-05_0-3.0,0.144,9348,1283.4012147283702,13.274039148472292,909,124.79800002012072,4.139288376128237,0.0972400513478819
Signal_1-0_0-05_0-4.0,0.144,9603,1353.590322204604,13.812865284098578,933,131.5109622635526,4.305475612797743,0.09715713839425182
Signal_1-0_0-05_0-5.0,0.144,9722,1393.6784909521512,14.134641215901787,901,129.16111091831806,4.302980482902754,0.09267640403209217
Signal_1-0_0-05_0-6.0,0.144,9910,1424.729539977541,14.311844262152889,957,137.58488090398654,4.447487573821179,0.09656912209889
Signal_1-0_0-05_0-7.0,0.144,9927,1434.3007367113426,14.39564772593611,886,128.0135441448826,4.30069912482003,0.08925153621436487
Signal_1-0_0-05_0-8.0,0.144,9849,1447.140675556714,14.581919014779686,926,136.05972845624095,4.471200102183372,0.09401969743121127
Signal_1-0_0-05_0-9.0,0.144,9982,1469.4830037120562,14.708073265196045,892,131.31424958036007,4.396726276887292,0.08936084952915248
Signal_1-0_0-05_1-0.0,0.144,9791,1451.9033655440962,14.673178022896819,837,124.11838596266048,4.290159022372858,0.08548667143294865
Signal_1-0_0-05_2-0.0,0.144,31170,1508.446883669768,8.54400750184758,2180,105.49933289701943,2.2595474542560328,0.06993904395251847
Signal_1-0_0-07_0-04.0,0.144,8732,226.45156385809798,2.423362932692433,797,20.66902157522951,0.7321343070159947,0.0912734768666972
Signal_1-0_0-07_0-06.0,0.144,8644,456.69842821747494,4.912155854920064,769,40.629464518653194,1.4651359630461986,0.08896344285053215
Signal_1-0_0-07_0-08.0,0.144,177969,735.8055982432284,1.7441784153190605,16296,67.37514976749685,0.5277876644450334,0.09156650877399995
Signal_1-0_0-07_0-1.0,0.144,181136,1008.1696490425905,2.368815479276065,16665,92.7543238301319,0.7185078292553034,0.09200269410829431
Signal_1-0_0-07_0-15.0,0.144,186691,1576.9392083097653,3.6496671655912847,17243,145.64795715318516,1.1091696652619998,0.09236117434691551
Signal_1-0_0-07_0-2.0,0.144,189744,1955.4597337270277,4.489157592651809,17668,182.08250366540776,1.3698547534560652,0.09311493380554854
Signal_1-0_0-07_0-3.0,0.144,195923,2390.74983877501,5.401214490074158,18108,220.96281743612482,1.6420408455193127,0.09242406455597352
Signal_1-0_0-07_0-4.0,0.144,197905,2583.6697322702057,5.80775936992595,18596,242.7726552704417,1.780286914067601,0.09396427578888865
