signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_2-0_0-03_0-04.0,0.144,7550,44.664612909648696,0.5140319322120078,2982,17.641043138618862,0.32305051849185706,0.3949668874172185
Signal_2-0_0-03_0-06.0,0.144,7848,73.715834269807,0.8321110471950993,3169,29.766243476174623,0.5287652551670902,0.4037971457696229
Signal_2-0_0-03_0-08.0,0.144,8049,95.61277906909552,1.0657245685081753,3197,37.976649855124656,0.6716535774217357,0.3971921977885451
Signal_2-0_0-03_0-1.0,0.144,7997,108.61615454538763,1.2145932826853276,3115,42.30828078140334,0.7580473823749687,0.38952107040140055
Signal_2-0_0-03_0-15.0,0.144,8163,129.18931530588196,1.4298869358863382,3250,51.43516779910772,0.9022325278522018,0.3981379394830331
Signal_2-0_0-03_0-2.0,0.144,8140,135.33820546622457,1.5000585516343867,3274,54.434555859510965,0.9513390992394185,0.40221130221130225
Signal_2-0_0-03_0-3.0,0.144,3160,138.91896301281386,2.4712574493946318,1278,56.18304896530889,1.5715922447985766,0.4044303797468354
Signal_2-0_0-03_0-4.0,0.144,8103,143.21873702986312,1.591024693405224,3203,56.61231824097885,1.000305070015919,0.39528569665555974
Signal_2-0_0-03_0-5.0,0.144,7106,147.12644976170094,1.7453324114609925,2890,59.83611593179225,1.1130494863667757,0.40669856459330145
Signal_2-0_0-03_0-6.0,0.144,7958,143.10674507846971,1.6041986130518187,3201,57.56279102741663,1.0174170379932759,0.40223674290022615
Signal_2-0_0-03_0-7.0,0.144,4803,145.93467659059746,2.105727683227668,1899,57.699344335945156,1.324062225755039,0.3953778888194878
Signal_2-0_0-03_0-8.0,0.144,13137,152.38574268009316,1.3295241671696074,5122,59.413852021575494,0.8301716974549929,0.389891147141661
Signal_2-0_0-03_0-9.0,0.144,6573,154.01108425668448,1.8996349979670375,2547,59.678416491978595,1.1825045447801137,0.38749429484253756
Signal_2-0_0-03_1-0.0,0.144,7936,151.12589426385267,1.6964382427078566,2931,55.81527168439416,1.0309678772746869,0.3693296370967741
