signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_1-0_0-03_0-04.0,0.17,6351,194.2448299193584,2.4374090086057207,29,0.8869626936957008,0.164704837356252,0.004566210045662102
Signal_1-0_0-03_0-06.0,0.17,6791,294.6760021349737,3.575838565313729,29,1.2583719720091642,0.2336738088947654,0.004270357826535118
Signal_1-0_0-03_0-08.0,0.17,7566,370.98378791402985,4.26502678329279,57,2.7948818280597014,0.3701911415438175,0.00753370340999207
Signal_1-0_0-03_0-1.0,0.17,8041,417.2649269457432,4.653254979059426,43,2.231363245699162,0.3402797048618426,0.005347593582887702
Signal_1-0_0-03_0-15.0,0.17,8958,475.3587493444537,5.022453942154484,36,1.9103499638759034,0.3183916606459839,0.0040187541862022795
Signal_1-0_0-03_0-2.0,0.17,9145,484.66858487638575,5.068191494642022,44,2.331921020728373,0.3515503212044813,0.004811372334609076
Signal_1-0_0-03_0-3.0,0.17,9613,507.419381838189,5.175324439159512,62,3.2726517917369917,0.41562719317799895,0.006449599500676164
Signal_1-0_0-03_0-4.0,0.17,9658,512.0472755011372,5.210344740214417,48,2.5448611745759555,0.3673190710479138,0.004969973079312486
Signal_1-0_0-03_0-5.0,0.17,9752,512.8929554314971,5.193736207075301,65,3.4185851213132996,0.4240232981927122,0.006665299425758817
Signal_1-0_0-03_0-6.0,0.17,9787,519.0004076453295,5.246176585702018,58,3.0757150958852675,0.40386117773349406,0.005926228670685604
Signal_1-0_0-03_0-7.0,0.17,10092,536.119632190596,5.3367036890186865,46,2.4436685573491292,0.3602992722897712,0.004558065794688862
Signal_1-0_0-03_0-8.0,0.17,9817,525.3163206885154,5.301899586564034,58,3.1036311092934596,0.40752672987378796,0.00590811856982785
Signal_1-0_0-03_0-9.0,0.17,9998,536.2152242351681,5.362688538021607,66,3.5397284256372377,0.4357104495736136,0.0066013202640528125
Signal_1-0_0-03_1-0.0,0.17,9765,526.1285889386357,5.324217363846722,66,3.556015040445465,0.43771519327336444,0.00675883256528418
Signal_1-0_0-03_2-0.0,0.17,31679,552.5119026826254,3.1042444007923815,145,2.5289379680223707,0.21001686707475992,0.004577164683228637
Signal_1-0_0-05_0-04.0,0.17,7866,221.35258101505167,2.495787580573751,44,1.238178688617121,0.1866624606162402,0.005593694380879736
Signal_1-0_0-05_0-06.0,0.17,8051,416.36573134097534,4.640342799687274,37,1.9134929896430366,0.3145763097132158,0.004595702397217737
Signal_1-0_0-05_0-08.0,0.17,8248,603.6787180749766,6.647089700463991,42,3.074018690488485,0.47433138178845613,0.005092143549951505
Signal_1-0_0-05_0-1.0,0.17,8670,770.7427864527481,8.277513924991318,58,5.156064776731188,0.677024473426234,0.006689734717416379
Signal_1-0_0-05_0-15.0,0.17,9032,1046.821490381517,11.014902703531527,50,5.7950702523334625,0.8195466945754858,0.00553587245349867
Signal_1-0_0-05_0-2.0,0.17,9120,1157.2703031295703,12.118179735393392,48,6.090896332260896,0.8791451592592331,0.005263157894736842
Signal_1-0_0-05_0-3.0,0.17,9348,1283.4012147283702,13.274039148472292,71,9.747698571428568,1.1568389874173854,0.007595207531022676
Signal_1-0_0-05_0-4.0,0.17,9603,1353.590322204604,13.812865284098578,59,8.316341665112114,1.0826954647253975,0.006143913360408205
Signal_1-0_0-05_0-5.0,0.17,9722,1393.6784909521512,14.134641215901787,54,7.741065471242145,1.0534255816678146,0.00555441267228965
Signal_1-0_0-05_0-6.0,0.17,9910,1424.729539977541,14.311844262152889,57,8.194710774845593,1.0854159578072544,0.005751765893037335
Signal_1-0_0-05_0-7.0,0.17,9927,1434.3007367113426,14.39564772593611,50,7.224240640230395,1.0216619091260717,0.005036768409388537
Signal_1-0_0-05_0-8.0,0.17,9849,1447.140675556714,14.581919014779686,55,8.081301366191415,1.0896824539220527,0.005584323281551424
Signal_1-0_0-05_0-9.0,0.17,9982,1469.4830037120562,14.708073265196045,61,8.980010341257808,1.1497725058597903,0.006110999799639352
Signal_1-0_0-05_1-0.0,0.17,9791,1451.9033655440962,14.673178022896819,41,6.079873147513832,0.9495166612527552,0.0041875191502400155
Signal_1-0_0-05_2-0.0,0.17,31170,1508.446883669768,8.54400750184758,134,6.484821379908532,0.5602032435637927,0.004299005453962144
Signal_1-0_0-07_0-04.0,0.17,8732,226.45156385809798,2.423362932692433,54,1.4004104956868175,0.19057173027059807,0.006184150251946862
Signal_1-0_0-07_0-06.0,0.17,8644,456.69842821747494,4.912155854920064,54,2.853044322506205,0.3882501557602629,0.006247107820453491
Signal_1-0_0-07_0-08.0,0.17,177969,735.8055982432284,1.7441784153190605,960,3.969080987775955,0.1281015380450397,0.005394197865920467
Signal_1-0_0-07_0-1.0,0.17,181136,1008.1696490425905,2.368815479276065,1005,5.593645091466099,0.176446024075981,0.005548317286458792
Signal_1-0_0-07_0-15.0,0.17,186691,1576.9392083097653,3.6496671655912847,1114,9.409721293779985,0.2819253737452788,0.00596707929144951
Signal_1-0_0-07_0-2.0,0.17,189744,1955.4597337270277,4.489157592651809,1038,10.697398619237788,0.3320316644876187,0.005470528712370352
Signal_1-0_0-07_0-3.0,0.17,195923,2390.74983877501,5.401214490074158,1110,13.544771777893668,0.4065464774192544,0.005665491034743241
Signal_1-0_0-07_0-4.0,0.17,197905,2583.6697322702057,5.80775936992595,1142,14.908925162338381,0.4411774262700533,0.005770445415729774
Signal_1-0_0-07_0-5.0,0.17,199151,2685.964698174789,6.018788114247084,1142,15.40224093936565,0.4557753790049081,0.005734342282991296
Signal_1-0_0-07_0-6.0,0.17,194908,2685.8381505817333,6.083661000007466,1047,14.42769175025692,0.44588566902070714,0.005371765140476535
Signal_1-0_0-07_0-7.0,0.17,200569,2800.9763927618337,6.254283218514555,1101,15.375631370903672,0.4633821484363416,0.005489382706200858
Signal_1-0_0-07_0-8.0,0.17,198403,2797.9716991436508,6.281584409450216,1027,14.48323329294683,0.4519395038165556,0.005176333019157977
Signal_1-0_0-07_0-9.0,0.17,198572,2829.217533523771,6.349029366891401,1038,14.78923413068144,0.4590362759854921,0.0052273230868400385
Signal_1-0_0-07_1-0.0,0.17,193408,2780.42237519215,6.322277553124827,1001,14.390318898739153,0.45483447934804294,0.005175587359364659
Signal_1-0_0-07_2-0.0,0.17,31269,2959.6622662053137,16.737290704433335,144,13.629836781910686,1.1358197318258905,0.0046052000383766676
Signal_1-0_0-08_0-04.0,0.17,8948,228.6451829162962,2.4171247672049168,50,1.2776328951514089,0.18068457680571254,0.005587840858292354
Signal_1-0_0-08_0-06.0,0.17,8986,476.0146309385837,5.02154194154418,64,3.3902666792865968,0.42378333491082465,0.007122190073447585
Signal_1-0_0-08_0-08.0,0.17,182343,776.5585587368596,1.8185684934680777,1053,4.484494399839388,0.13819721797565834,0.005774830950461496
Signal_1-0_0-08_0-1.0,0.17,182961,1085.182622394307,2.5370181131945615,1001,5.937154940215135,0.18765552000922073,0.005471111329736939
Signal_1-0_0-08_0-15.0,0.17,151459,1805.1799966883348,4.638450965374898,845,10.071221236120948,0.34646054308316765,0.005579067602453468
Signal_1-0_0-08_0-2.0,0.17,152747,2320.511985863164,5.937415902208054,948,14.40188915394921,0.46775161464025455,0.006206341204737246
Signal_1-0_0-08_0-3.0,0.17,155973,2925.686538492591,7.40803594097027,900,16.881882663302825,0.5627294221100944,0.005770229462791637
Signal_1-0_0-08_0-4.0,0.17,157823,3245.464304067559,8.169428753167193,870,17.890636627986908,0.6065493876989803,0.005512504514551113
Signal_1-0_0-08_0-5.0,0.17,198797,3412.706336991498,7.654097776191927,1171,20.102311003772925,0.587445444306292,0.005890430942116835
Signal_1-0_0-08_0-6.0,0.17,155575,3442.813756385559,8.728580564103051,869,19.230629306116345,0.6523544183358303,0.005585730355134179
Signal_1-0_0-08_0-7.0,0.17,152264,3586.779876218953,9.191917275321368,890,20.965126949475042,0.7027526520022427,0.005845111122786738
Signal_1-0_0-08_0-8.0,0.17,148315,3532.5582652596354,9.172691675747327,866,20.626338925360514,0.7009115291299282,0.005838923911944174
Signal_1-0_0-08_0-9.0,0.17,152551,3679.7679480988945,9.421344898296965,789,19.03191005663697,0.6775539398821576,0.005172040825691078
Signal_1-0_0-08_1-0.0,0.17,192697,3610.52574828334,8.224944380228182,999,18.71806630375697,0.5922134099078785,0.005184304893174258
Signal_1-0_0-08_2-0.0,0.17,31218,3861.5638387701656,21.85549669145045,119,14.719908284119736,1.3493717800445675,0.0038119033890704097
Signal_1-0_0-15_0-04.0,0.17,9639,231.14283785713758,2.3543143562497066,63,1.510737502334233,0.19033503464167817,0.0065359477124183035
Signal_1-0_0-15_0-06.0,0.17,9463,500.19832729314874,5.141949594578756,69,3.64722440909091,0.4390742218836495,0.0072915565888196174
Signal_1-0_0-15_0-08.0,0.17,149394,885.3351901902333,2.2905572398953256,856,5.072806958799145,0.1733849723773938,0.005729815119750456
Signal_1-0_0-15_0-1.0,0.17,156537,1338.0630263431535,3.381956888637133,907,7.752947641089584,0.2574324011321717,0.005794157291886263
Signal_1-0_0-15_0-15.0,0.17,136845,2657.041131153486,7.182635214302301,800,15.533142642572166,0.5491795247850353,0.005846030180130803
