sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.129,14,52.11510375436647,13.92834735178683
sel_ttbar.2_v2.root,0.129,11,12.576578184382214,3.791980998560451
sel_ttbar.3_v2.root,0.129,13,9.813476059757235,2.7217685479994636
sel_ttbar.4_v2.root,0.129,32,5.343008224567983,0.9445193368818792
sel_ttbar.5_v2.root,0.129,46,28.561014173733707,4.211091799543039
sel_ttbar.6_v2.root,0.129,81,17.071308143632653,1.8968120159591833
sel_ttbar.7_v2.root,0.129,13,0.47604858050640136,0.13203212050982133
sel_ttbar.8_v2.root,0.129,0,0.0,0.0
sel_ttbar.9_v2.root,0.129,1,4.699331977534132e-06,4.699331977534132e-06
sel_wjets.2_v2.root,0.129,0,0.0,0.0
sel_wjets.3_v2.root,0.129,0,0.0,0.0
sel_wjets.4_v2.root,0.129,5,2.49283297150776,1.1148287961688295
sel_wjets.5_v2.root,0.129,287,71.32891103666152,4.210412490934674
sel_wjets.6_v2.root,0.129,738,83.02137040889517,3.0560588770264663
sel_wjets.7_v2.root,0.129,51,5.924619128839686,0.829612617156559
sel_wjets.8_v2.root,0.129,2,0.005229776012850258,0.0036980100827731627
sel_ww2l2v.0_v2.root,0.129,2,0.35844489080905384,0.2534588129727535
sel_wwlv2q.1_v2.root,0.129,1,1.2864329375,1.2864329375
sel_wwlv2q.2_v2.root,0.129,2,0.549609672,0.3886327260769141
sel_wwlv2q.3_v2.root,0.129,14,0.2591550360000001,0.06926209676921907
sel_wwlv2q.4_v2.root,0.129,208,0.2030662483199999,0.014080110973728136
sel_wwlv2q.5_v2.root,0.129,3822,0.5219364852000001,0.008442524221058723
sel_wwlv2q.6_v2.root,0.129,2161,0.07622227159591838,0.0016396626507192832
sel_wwlv2q.7_v2.root,0.129,467,0.0014950037547551017,6.918052335006563e-05
sel_wz2l2q.1_v2.root,0.129,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.129,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.129,0,0.0,0.0
sel_wz2l2q.4_v2.root,0.129,7,0.00042903171428571436,0.00016215874579424535
sel_wz2l2q.5_v2.root,0.129,158,0.0012869678280000001,0.00010238566300652184
sel_wz2l2q.6_v2.root,0.129,133,0.0002791493571428572,2.4205319056482056e-05
sel_wz2l2q.7_v2.root,0.129,38,6.913378775510205e-06,1.121498129778516e-06
sel_wz2l2q.8_v2.root,0.129,2,2.2216560000000002e-08,1.5709480230637807e-08
sel_wz2l2q.9_v2.root,0.129,10,8.86977e-11,2.8048675521831688e-11
sel_wz3l1v.0_v2.root,0.129,2,0.018511641176470587,0.01308970700677447
sel_wzlv2q.1_v2.root,0.129,3,0.6109146,0.3527117087618725
sel_wzlv2q.2_v2.root,0.129,6,0.507204,0.20706516591643317
sel_wzlv2q.3_v2.root,0.129,23,0.09600480600000001,0.020018385869753137
sel_wzlv2q.4_v2.root,0.129,157,0.032027877540000006,0.002556102900200913
sel_wzlv2q.5_v2.root,0.129,3024,0.08295151939199999,0.0015084587961326874
sel_wzlv2q.6_v2.root,0.129,1720,0.012132392081632658,0.0002925379498562245
sel_wzlv2q.7_v2.root,0.129,473,0.0002881855787755102,1.3250787029493983e-05
sel_wzlv2q.9_v2.root,0.129,37,1.0385093400000003e-09,1.7072988380315498e-10
sel_zjets.1_v2.root,0.129,0,0.0,0.0
sel_zjets.2_v2.root,0.129,0,0.0,0.0
sel_zjets.3_v2.root,0.129,0,0.0,0.0
sel_zjets.4_v2.root,0.129,35,15.1251860899259,2.5566230754922903
sel_zjets.5_v2.root,0.129,786,192.33609123024067,6.8604011772366755
sel_zjets.6_v2.root,0.129,2007,218.7714272527861,4.8833394492388935
sel_zjets.7_v2.root,0.129,537,13.74942668920406,0.5933315563159374
sel_zjets.8_v2.root,0.129,25,0.014703724574797206,0.002940744914959441
sel_zz4l.0_v2.root,0.129,0,0.0,0.0
TOTAL,,17154,733.3447397814977,18.624406723665704
