signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_2-0_0-03_0-04.0,0.159,7550,4.466461290964871,0.051403193221200794,1676,0.9914952481665066,0.024218856279455924,0.22198675496688747
Signal_2-0_0-03_0-06.0,0.159,7848,7.371583426980697,0.08321110471950995,1864,1.750844993360349,0.040553164059326394,0.23751274209989803
Signal_2-0_0-03_0-08.0,0.159,8049,9.561277906909549,0.10657245685081755,1781,2.115621313480669,0.05013095451730609,0.2212697229469499
Signal_2-0_0-03_0-1.0,0.159,7997,10.861615454538768,0.12145932826853278,1822,2.4746609176153096,0.057975100910315595,0.22783543828935846
Signal_2-0_0-03_0-15.0,0.159,8163,12.918931530588186,0.1429886935886338,1918,3.035466210421186,0.06931083029624541,0.2349626362856793
Signal_2-0_0-03_0-2.0,0.159,8140,13.533820546622458,0.15000585516343862,1876,3.119096725486945,0.07201325238935286,0.23046683046683047
Signal_2-0_0-03_0-3.0,0.159,3160,13.891896301281381,0.24712574493946315,709,3.11688432835712,0.11705704802077233,0.22436708860759494
Signal_2-0_0-03_0-4.0,0.159,8103,14.32187370298632,0.15910246934052238,1894,3.3476032078805495,0.07692083465017721,0.23374058990497348
Signal_2-0_0-03_0-5.0,0.159,7106,14.712644976170093,0.17453324114609922,1638,3.3914033874143845,0.08379584811476852,0.23050942865184354
Signal_2-0_0-03_0-6.0,0.159,7958,14.310674507846972,0.16041986130518185,1837,3.303431650027002,0.07707450554289406,0.23083689369188232
Signal_2-0_0-03_0-7.0,0.159,4803,14.593467659059748,0.2105727683227668,1092,3.3179401798237027,0.1004054374288691,0.22735790131168018
Signal_2-0_0-03_0-8.0,0.159,13137,15.238574268009312,0.13295241671696076,2929,3.3975629162669767,0.06277805004751288,0.22295805739514346
Signal_2-0_0-03_0-9.0,0.159,6573,15.401108425668447,0.18996349979670377,1467,3.4373080877005346,0.08974358265065219,0.223185759926974
Signal_2-0_0-03_1-0.0,0.159,7936,15.11258942638527,0.16964382427078567,1689,3.2163764542798288,0.07826219952360246,0.21282762096774194
Signal_2-0_0-03_2-0.0,0.159,1360,18.50798437647059,0.5018681905110376,187,2.544847851764706,0.18609770575946977,0.1375
Signal_2-0_0-05_0-04.0,0.159,7836,5.612650526734964,0.06340460304663262,1754,1.2563283593533852,0.029997728406163864,0.22383869321082184
Signal_2-0_0-05_0-06.0,0.159,77666,10.545853775295775,0.03784131989417998,17698,2.403117453135022,0.018063957476132493,0.22787320062833155
Signal_2-0_0-05_0-08.0,0.159,77845,15.505393685968514,0.055573459910499994,17858,3.557008419860309,0.026617574843844295,0.22940458603635433
Signal_2-0_0-05_0-1.0,0.159,77768,19.779717954272154,0.07092831284175499,17516,4.455065575648479,0.03366174553960006,0.2252340294208414
Signal_2-0_0-05_0-15.0,0.159,80527,28.233126407163695,0.09949201178282827,18462,6.472859782794044,0.04763836262661206,0.22926471866578907
Signal_2-0_0-05_0-2.0,0.159,81289,32.82784955785844,0.11514008454024696,18638,7.526792801724288,0.05513283273723528,0.2292807144878151
Signal_2-0_0-05_0-3.0,0.159,79578,36.0631525812946,0.12784012286060795,18324,8.304069063053133,0.061345231667761436,0.23026464600769053
Signal_2-0_0-05_0-4.0,0.159,79054,37.41851880486645,0.13308363896163256,18000,8.519914722690771,0.06350369494145942,0.22769246337946217
Signal_2-0_0-05_0-5.0,0.159,79514,38.51042921509874,0.13657039273791236,18026,8.730399640709434,0.06502561089661991,0.226702215961969
Signal_2-0_0-05_0-6.0,0.159,78940,39.014708226972516,0.13886084456380915,17728,8.761752564577765,0.06580533628480476,0.22457562705852546
Signal_2-0_0-05_0-7.0,0.159,77708,39.02432383529818,0.139991775324918,17356,8.716041649320989,0.06615984454858137,0.22334894734132912
Signal_2-0_0-05_0-8.0,0.159,77818,39.684811488126606,0.1422604863972371,17318,8.83165289973241,0.06711090949890468,0.2225449124881133
Signal_2-0_0-05_0-9.0,0.159,77818,40.39937994420418,0.14482204212381855,16989,8.81987542563526,0.06766725246351586,0.2183170988717263
Signal_2-0_0-05_1-0.0,0.159,78950,41.75657406641192,0.14861025946425593,17088,9.037825682670636,0.06913824367647006,0.21644078530715638
Signal_2-0_0-05_2-0.0,0.159,24392,52.51500796471151,0.33624801561714207,3820,8.224308397228516,0.13306618497756142,0.15660872417185961
Signal_2-0_0-07_0-04.0,0.159,8008,6.014313260268122,0.06720847060124983,1850,1.389420520916087,0.032303370955740505,0.231018981018981
Signal_2-0_0-07_0-06.0,0.159,80245,12.408683584281718,0.04380429748575738,18222,2.8177585179485503,0.02087400341381617,0.22707956882048722
Signal_2-0_0-07_0-08.0,0.159,80697,19.785403109527085,0.06964921215607653,18387,4.5081503274579555,0.03324627182812103,0.22785233651808626
Signal_2-0_0-07_0-1.0,0.159,80582,27.003478469967526,0.09512631877282027,18550,6.216208652278396,0.04564083975822706,0.23020029286937532
