signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_1-0_0-03_0-04.0,0.103,6351,194.2448299193584,2.4374090086057207,2304,70.4676567680998,1.4680761826687458,0.3627775153519131
Signal_1-0_0-03_0-06.0,0.103,6791,294.6760021349737,3.575838565313729,2469,107.13518616864232,2.156113325428367,0.36356943012811066
Signal_1-0_0-03_0-08.0,0.103,7566,370.98378791402985,4.26502678329279,2915,142.93123734726368,2.647328736153177,0.3852762357916997
Signal_1-0_0-03_0-1.0,0.103,8041,417.2649269457432,4.653254979059426,3109,161.33275188089985,2.89342467431236,0.38664345230692704
Signal_1-0_0-03_0-15.0,0.103,8958,475.3587493444537,5.022453942154484,3503,185.88766454048016,3.1407292732380663,0.3910471087296271
Signal_1-0_0-03_0-2.0,0.103,9145,484.66858487638575,5.068191494642022,3581,189.78657216427965,3.1714898172548955,0.39158009841443414
Signal_1-0_0-03_0-3.0,0.103,9613,507.419381838189,5.175324439159512,3969,209.50249937748595,3.325436498055332,0.4128783938416728
Signal_1-0_0-03_0-4.0,0.103,9658,512.0472755011372,5.210344740214417,3886,206.02771925837845,3.30502125442952,0.40236073721267346
Signal_1-0_0-03_0-5.0,0.103,9752,512.8929554314971,5.193736207075301,3968,208.6914732518643,3.312980450855452,0.4068908941755538
Signal_1-0_0-03_0-6.0,0.103,9787,519.0004076453295,5.246176585702018,3898,206.70926627173745,3.3108463620801176,0.39828343721262904
Signal_1-0_0-03_0-7.0,0.103,10092,536.119632190596,5.3367036890186865,4176,221.84260642369492,3.432928151827221,0.4137931034482759
Signal_1-0_0-03_0-8.0,0.103,9817,525.3163206885154,5.301899586564034,3915,209.49509987730852,3.3481737410728223,0.39879800346337985
Signal_1-0_0-03_0-9.0,0.103,9998,536.2152242351681,5.362688538021607,3833,205.57240993132618,3.3204383221073654,0.383376675335067
Signal_1-0_0-03_1-0.0,0.103,9765,526.1285889386357,5.324217363846722,3978,214.33072471048573,3.3982243150586027,0.4073732718894009
Signal_1-0_0-03_2-0.0,0.103,31679,552.5119026826254,3.1042444007923815,10776,187.94369340282117,1.810501820503518,0.34016225259635724
Signal_1-0_0-05_0-04.0,0.103,7866,221.35258101505167,2.495787580573751,3002,84.4775550733772,1.5418282267721157,0.38164251207729466
Signal_1-0_0-05_0-06.0,0.103,8051,416.36573134097534,4.640342799687274,3119,161.30228742423333,2.8882370766267664,0.3874052912681656
Signal_1-0_0-05_0-08.0,0.103,8248,603.6787180749766,6.647089700463991,3146,230.25863810182793,4.105221289701118,0.3814258001939865
Signal_1-0_0-05_0-1.0,0.103,8670,770.7427864527481,8.277513924991318,3462,307.76372856971324,5.230628828211101,0.39930795847750866
Signal_1-0_0-05_0-15.0,0.103,9032,1046.821490381517,11.014902703531527,3690,427.6761846222097,7.04047375555884,0.408547387068202
Signal_1-0_0-05_0-2.0,0.103,9120,1157.2703031295703,12.118179735393392,3656,463.92327064053825,7.6726089483887066,0.4008771929824561
Signal_1-0_0-05_0-3.0,0.103,9348,1283.4012147283702,13.274039148472292,3852,528.8469703822938,8.52092772316358,0.4120667522464698
Signal_1-0_0-05_0-4.0,0.103,9603,1353.590322204604,13.812865284098578,3907,550.7109641625939,8.810529656349516,0.4068520254087265
Signal_1-0_0-05_0-5.0,0.103,9722,1393.6784909521512,14.134641215901787,3969,568.9683121362979,9.031243049782503,0.40824933141328945
