signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_2-0_0-03_0-04.0,-0.12,7550,4.466461290964871,0.051403193221200794,7546,4.464094953857074,0.051389574677255016,0.9994701986754966
Signal_2-0_0-03_0-06.0,-0.12,7848,7.371583426980697,0.08321110471950995,7834,7.358433303640008,0.08313685169522005,0.9982161060142711
Signal_2-0_0-03_0-08.0,-0.12,8049,9.561277906909549,0.10657245685081755,8040,9.550586951366974,0.10651285811923836,0.9988818486768543
Signal_2-0_0-03_0-1.0,-0.12,7997,10.861615454538768,0.12145932826853278,7986,10.846675130667325,0.12137576490929902,0.9986244841815681
Signal_2-0_0-03_0-15.0,-0.12,8163,12.918931530588186,0.1429886935886338,8147,12.893609601825547,0.142848491379566,0.9980399362979296
Signal_2-0_0-03_0-2.0,-0.12,8140,13.533820546622458,0.15000585516343862,8127,13.512206336904264,0.14988602375480736,0.9984029484029483
Signal_2-0_0-03_0-3.0,-0.12,3160,13.891896301281381,0.24712574493946315,3153,13.861123113272214,0.24685187796471467,0.9977848101265823
Signal_2-0_0-03_0-4.0,-0.12,8103,14.32187370298632,0.15910246934052238,8094,14.305966401576118,0.1590140872564831,0.9988893002591633
Signal_2-0_0-03_0-5.0,-0.12,7106,14.712644976170093,0.17453324114609922,7100,14.700222253139273,0.17445954141398803,0.9991556431184916
Signal_2-0_0-03_0-6.0,-0.12,7958,14.310674507846972,0.16041986130518185,7950,14.296288305778264,0.16033920777504349,0.9989947222920331
Signal_2-0_0-03_0-7.0,-0.12,4803,14.593467659059748,0.2105727683227668,4800,14.584352438785507,0.21050699516222965,0.9993753903810119
Signal_2-0_0-03_0-8.0,-0.12,13137,15.238574268009312,0.13295241671696076,13126,15.22581455750097,0.1328967425578724,0.9991626703204689
Signal_2-0_0-03_0-9.0,-0.12,6573,15.401108425668447,0.18996349979670377,6567,15.387049905882352,0.18987677826751115,0.9990871748060247
Signal_2-0_0-03_1-0.0,-0.12,7936,15.11258942638527,0.16964382427078567,7925,15.091642036807366,0.1695262128069287,0.9986139112903225
Signal_2-0_0-03_2-0.0,-0.12,1360,18.50798437647059,0.5018681905110376,1335,18.167764075432526,0.4972340359602166,0.9816176470588235
Signal_2-0_0-05_0-04.0,-0.12,7836,5.612650526734964,0.06340460304663262,7823,5.603339085074991,0.06335198678915141,0.9983409903011742
Signal_2-0_0-05_0-06.0,-0.12,77666,10.545853775295775,0.03784131989417998,77555,10.530781674646098,0.037814268878443136,0.99857080318286
Signal_2-0_0-05_0-08.0,-0.12,77845,15.505393685968514,0.055573459910499994,77729,15.48228846832355,0.05553203833752476,0.9985098593358598
Signal_2-0_0-05_0-1.0,-0.12,77768,19.779717954272154,0.07092831284175499,77655,19.7509772366398,0.07087676327792244,0.9985469601892809
Signal_2-0_0-05_0-15.0,-0.12,80527,28.233126407163695,0.09949201178282827,80406,28.19070326591583,0.09941723525379799,0.9984973983881182
Signal_2-0_0-05_0-2.0,-0.12,81289,32.82784955785844,0.11514008454024696,81179,32.78342702281232,0.1150621545811002,0.9986468033805312
Signal_2-0_0-05_0-3.0,-0.12,79578,36.0631525812946,0.12784012286060795,79431,35.99653513137817,0.1277219923178145,0.9981527557867753
Signal_2-0_0-05_0-4.0,-0.12,79054,37.41851880486645,0.13308363896163256,78936,37.36266603057326,0.13298427818373018,0.9985073494067347
Signal_2-0_0-05_0-5.0,-0.12,79514,38.51042921509874,0.13657039273791236,79394,38.45231050008236,0.1364672999804764,0.9984908318032043
Signal_2-0_0-05_0-6.0,-0.12,78940,39.014708226972516,0.13886084456380915,78843,38.96676768101335,0.13877550353115747,0.9987712186470736
Signal_2-0_0-05_0-7.0,-0.12,77708,39.02432383529818,0.139991775324918,77550,38.94497752390197,0.13984938358164276,0.9979667473104442
Signal_2-0_0-05_0-8.0,-0.12,77818,39.684811488126606,0.1422604863972371,77713,39.63126468396493,0.14216447780523903,0.9986506977820041
Signal_2-0_0-05_0-9.0,-0.12,77818,40.39937994420418,0.14482204212381855,77696,40.33604338514081,0.14470847444355853,0.9984322393276619
Signal_2-0_0-05_1-0.0,-0.12,78950,41.75657406641192,0.14861025946425593,78828,41.69204839147712,0.1484953927053204,0.9984547181760608
Signal_2-0_0-05_2-0.0,-0.12,24392,52.51500796471151,0.33624801561714207,24028,51.73133041063005,0.3337296830280725,0.9850770744506396
Signal_2-0_0-07_0-04.0,-0.12,8008,6.014313260268122,0.06720847060124983,7994,6.003798726596324,0.06714969623880425,0.9982517482517481
Signal_2-0_0-07_0-06.0,-0.12,80245,12.408683584281718,0.04380429748575738,80119,12.389199577407526,0.043769893412037214,0.9984298087108231
Signal_2-0_0-07_0-08.0,-0.12,80697,19.785403109527085,0.06964921215607653,80591,19.759413881555663,0.0696034530664125,0.9986864443535696
Signal_2-0_0-07_0-1.0,-0.12,80582,27.003478469967526,0.09512631877282027,80472,26.966616855317895,0.09506136959999367,0.9986349308778635
Signal_2-0_0-07_0-15.0,-0.12,80914,42.77699232618784,0.1503828843154479,80801,42.717252353712624,0.15027783943423442,0.9986034555206762
Signal_2-0_0-07_0-2.0,-0.12,80133,53.25861719708385,0.1881413193583112,80027,53.188166653326704,0.18801684143183103,0.9986771991564023
