signal,BDT cut,count before,sg before,sg before err,count after,sg after,sg after err,sg acceptance
Signal_2-5_0-03_0-04.0,0.03,148261,1.0713635787171507,0.002782424673318389,138394,1.0000626672758266,0.002688243375336361,0.9334484456465286
Signal_2-5_0-03_0-06.0,0.03,147235,1.7345759352637398,0.004520513666481978,137330,1.6178851033366344,0.004365811356516543,0.9327265935409379
Signal_2-5_0-03_0-08.0,0.03,149015,2.2395094348485864,0.005801468023720453,138913,2.087688985156673,0.005601371206103964,0.9322081669630573
Signal_2-5_0-03_0-1.0,0.03,150205,2.5824407078538933,0.00666328154829515,140263,2.4115101428428525,0.006438986746098629,0.9338104590393129
Signal_2-5_0-03_0-15.0,0.03,150935,3.0244122729487746,0.007784774056075014,140808,2.8214890073831187,0.007519079862355298,0.9329048928346638
Signal_2-5_0-03_0-2.0,0.03,150764,3.2310903661601604,0.008321474346821046,140488,3.0108608378731567,0.008032876091000332,0.9318404924252474
Signal_2-5_0-03_0-3.0,0.03,149101,3.325351399699636,0.00861186606984089,139155,3.1035289771711985,0.00831967568050869,0.9332935392787439
Signal_2-5_0-03_0-4.0,0.03,149239,3.401838060344267,0.00880587407361599,139092,3.1705416110360214,0.00850124204408819,0.9320083892280168
Signal_2-5_0-03_0-5.0,0.03,149754,3.4618941359033077,0.00894591088013014,139727,3.230097906749479,0.008641229090222542,0.933043524713864
Signal_2-5_0-03_0-6.0,0.03,145982,3.4239996451776,0.008961569068650192,136209,3.19477447678478,0.00865639975210105,0.9330533901439904
Signal_2-5_0-03_0-7.0,0.03,148269,3.525479229216445,0.009155730086910657,138306,3.288583117684814,0.008842769658379974,0.9328045646763653
Signal_2-5_0-03_0-8.0,0.03,143761,3.488859295240985,0.009201590720701636,133711,3.244961187150669,0.008874133098282068,0.9300923059800641
Signal_2-5_0-03_0-9.0,0.03,145421,3.5959392984534584,0.009429719811518246,135469,3.349848376934497,0.009101336835729583,0.931564216997545
Signal_2-5_0-03_1-0.0,0.03,144076,3.6676383338077896,0.009662526143540993,134009,3.4113700094064803,0.009318839757912045,0.9301271551125795
Signal_2-5_0-03_2-0.0,0.03,21857,5.368903725639907,0.0363153588667169,15905,3.906867994523618,0.030978608115019964,0.7276844946698998
