sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.15,1,37.22507411026176,37.22507411026176
sel_ttbar.2_v2.root,0.15,0,0.0,0.0
sel_ttbar.3_v2.root,0.15,0,0.0,0.0
sel_ttbar.4_v2.root,0.15,1,1.6696900701774944,1.6696900701774944
sel_ttbar.5_v2.root,0.15,0,0.0,0.0
sel_ttbar.6_v2.root,0.15,4,8.430275626485258,4.215137813242629
sel_ttbar.7_v2.root,0.15,25,9.154780394353875,1.8309560788707753
sel_ttbar.8_v2.root,0.15,20,0.056157867011137286,0.012557280810829586
sel_ttbar.9_v2.root,0.15,9,0.0004229398779780718,0.00014097995932602393
sel_wjets.2_v2.root,0.15,0,0.0,0.0
sel_wjets.3_v2.root,0.15,0,0.0,0.0
sel_wjets.4_v2.root,0.15,0,0.0,0.0
sel_wjets.5_v2.root,0.15,0,0.0,0.0
sel_wjets.6_v2.root,0.15,36,40.498229467753724,6.74970491129229
sel_wjets.7_v2.root,0.15,68,78.9949217178625,9.579541356768987
sel_wjets.8_v2.root,0.15,29,0.7583175218632876,0.1408160286679871
sel_ww2l2v.0_v2.root,0.15,0,0.0,0.0
sel_wwlv2q.1_v2.root,0.15,1,12.864329375000002,12.864329375000002
sel_wwlv2q.2_v2.root,0.15,0,0.0,0.0
sel_wwlv2q.3_v2.root,0.15,0,0.0,0.0
sel_wwlv2q.4_v2.root,0.15,8,0.07810240319999999,0.02761336946484295
sel_wwlv2q.5_v2.root,0.15,16,0.02184977436734694,0.005462443591836735
sel_wwlv2q.6_v2.root,0.15,1013,0.3573029205306123,0.011226175915501669
sel_wwlv2q.7_v2.root,0.15,6063,0.19409438469122453,0.0024926952548645913
sel_wz2l2q.1_v2.root,0.15,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.15,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.15,1,0.012006244897959185,0.012006244897959185
sel_wz2l2q.4_v2.root,0.15,0,0.0,0.0
sel_wz2l2q.5_v2.root,0.15,1,8.145366e-05,8.145366e-05
sel_wz2l2q.6_v2.root,0.15,37,0.000776580918367347,0.00012766911654025616
sel_wz2l2q.7_v2.root,0.15,371,0.0006749640857142859,3.5042389309643694e-05
sel_wz2l2q.8_v2.root,0.15,29,3.2214012e-06,5.981991852379606e-07
sel_wz2l2q.9_v2.root,0.15,61,5.410559699999998e-09,6.927511826786657e-10
sel_wz3l1v.0_v2.root,0.15,0,0.0,0.0
sel_wzlv2q.1_v2.root,0.15,0,0.0,0.0
sel_wzlv2q.2_v2.root,0.15,0,0.0,0.0
sel_wzlv2q.3_v2.root,0.15,1,0.04174122,0.04174122
sel_wzlv2q.4_v2.root,0.15,6,0.0122399532,0.0049969399692576895
sel_wzlv2q.5_v2.root,0.15,26,0.00713207508,0.0013987150002049548
sel_wzlv2q.6_v2.root,0.15,773,0.05452522720408162,0.00196113611291318
sel_wzlv2q.7_v2.root,0.15,4595,0.027996040897959186,0.0004130036229768355
sel_wzlv2q.9_v2.root,0.15,259,7.26956538e-08,4.517088139101024e-09
sel_zjets.1_v2.root,0.15,0,0.0,0.0
sel_zjets.2_v2.root,0.15,0,0.0,0.0
sel_zjets.3_v2.root,0.15,0,0.0,0.0
sel_zjets.4_v2.root,0.15,0,0.0,0.0
sel_zjets.5_v2.root,0.15,1,2.4470240614534435,2.4470240614534435
sel_zjets.6_v2.root,0.15,135,147.1556685556857,12.665143413693093
sel_zjets.7_v2.root,0.15,983,251.68876043738544,8.027624744224596
sel_zjets.8_v2.root,0.15,242,1.4233205388403696,0.09149450952873782
sel_zz4l.0_v2.root,0.15,0,0.0,0.0
TOTAL,,14815,593.1754992262527,44.08286103764781
