stem,hepmc_file,hepmc_size_B,hepmc_size,mc_file,mc_size_B,mc_size,ratio(mc/hepmc),result,reason
zjets.6.41,zjets.6.41.hepmc.gz,3582163307,3.3 GB,zjets.6.41.root,3593004142,3.3 GB,1.0030,O,
zjets.6.42,zjets.6.42.hepmc.gz,3554879204,3.3 GB,zjets.6.42.root,3566164074,3.3 GB,1.0032,O,
zjets.6.43,zjets.6.43.hepmc.gz,3555781510,3.3 GB,zjets.6.43.root,3567180347,3.3 GB,1.0032,O,
zjets.6.44,zjets.6.44.hepmc.gz,3548056816,3.3 GB,zjets.6.44.root,3559759135,3.3 GB,1.0033,O,
zjets.6.45,zjets.6.45.hepmc.gz,3545398062,3.3 GB,zjets.6.45.root,3556615618,3.3 GB,1.0032,O,
zjets.6.46,zjets.6.46.hepmc.gz,3568874488,3.3 GB,zjets.6.46.root,3579243433,3.3 GB,1.0029,O,
zjets.6.47,zjets.6.47.hepmc.gz,3550064399,3.3 GB,zjets.6.47.root,3562282925,3.3 GB,1.0034,O,
zjets.6.48,zjets.6.48.hepmc.gz,3564652566,3.3 GB,zjets.6.48.root,3575246647,3.3 GB,1.0030,O,
zjets.6.49,zjets.6.49.hepmc.gz,3558468004,3.3 GB,zjets.6.49.root,3568200799,3.3 GB,1.0027,O,
zjets.6.5,zjets.6.5.hepmc.gz,3552847508,3.3 GB,zjets.6.5.root,3561032518,3.3 GB,1.0023,O,
zjets.6.50,zjets.6.50.hepmc.gz,3577540359,3.3 GB,zjets.6.50.root,3590061647,3.3 GB,1.0035,O,
zjets.6.51,zjets.6.51.hepmc.gz,3566533447,3.3 GB,zjets.6.51.root,3577425350,3.3 GB,1.0031,O,
zjets.6.52,zjets.6.52.hepmc.gz,3549733972,3.3 GB,zjets.6.52.root,3559572779,3.3 GB,1.0028,O,
zjets.6.53,zjets.6.53.hepmc.gz,3566768114,3.3 GB,zjets.6.53.root,3577467679,3.3 GB,1.0030,O,
zjets.6.54,zjets.6.54.hepmc.gz,3555332188,3.3 GB,zjets.6.54.root,3567524776,3.3 GB,1.0034,O,
zjets.6.55,zjets.6.55.hepmc.gz,3531579971,3.3 GB,zjets.6.55.root,3542135229,3.3 GB,1.0030,O,
zjets.6.56,zjets.6.56.hepmc.gz,3533349876,3.3 GB,zjets.6.56.root,3544535118,3.3 GB,1.0032,O,
zjets.6.57,zjets.6.57.hepmc.gz,3557900952,3.3 GB,zjets.6.57.root,3569033839,3.3 GB,1.0031,O,
zjets.6.58,zjets.6.58.hepmc.gz,3578078043,3.3 GB,zjets.6.58.root,3589330076,3.3 GB,1.0031,O,
zjets.6.59,zjets.6.59.hepmc.gz,3558171651,3.3 GB,zjets.6.59.root,3568146982,3.3 GB,1.0028,O,
zjets.6.6,zjets.6.6.hepmc.gz,3571374623,3.3 GB,zjets.6.6.root,3581718566,3.3 GB,1.0029,O,
zjets.6.60,zjets.6.60.hepmc.gz,3547743187,3.3 GB,zjets.6.60.root,3558043225,3.3 GB,1.0029,O,
zjets.6.61,zjets.6.61.hepmc.gz,3585442851,3.3 GB,zjets.6.61.root,3597047127,3.4 GB,1.0032,O,
zjets.6.62,zjets.6.62.hepmc.gz,3552317053,3.3 GB,zjets.6.62.root,3563047553,3.3 GB,1.0030,O,
zjets.6.63,zjets.6.63.hepmc.gz,3537633115,3.3 GB,zjets.6.63.root,3549468168,3.3 GB,1.0033,O,
zjets.6.64,zjets.6.64.hepmc.gz,3589138110,3.3 GB,zjets.6.64.root,3598280552,3.4 GB,1.0025,O,
zjets.6.65,zjets.6.65.hepmc.gz,3566157327,3.3 GB,zjets.6.65.root,3576553193,3.3 GB,1.0029,O,
zjets.6.66,zjets.6.66.hepmc.gz,3556174844,3.3 GB,zjets.6.66.root,3567042948,3.3 GB,1.0031,O,
zjets.6.67,zjets.6.67.hepmc.gz,3563673708,3.3 GB,zjets.6.67.root,3574345243,3.3 GB,1.0030,O,
zjets.6.68,zjets.6.68.hepmc.gz,3545879760,3.3 GB,zjets.6.68.root,3558631493,3.3 GB,1.0036,O,
zjets.6.69,zjets.6.69.hepmc.gz,3572962407,3.3 GB,zjets.6.69.root,3583750629,3.3 GB,1.0030,O,
zjets.6.7,zjets.6.7.hepmc.gz,3534667129,3.3 GB,zjets.6.7.root,3546016330,3.3 GB,1.0032,O,
zjets.6.70,zjets.6.70.hepmc.gz,3572207210,3.3 GB,zjets.6.70.root,3582283111,3.3 GB,1.0028,O,
zjets.6.71,zjets.6.71.hepmc.gz,3561986288,3.3 GB,zjets.6.71.root,3573123343,3.3 GB,1.0031,O,
zjets.6.72,zjets.6.72.hepmc.gz,3605115329,3.4 GB,zjets.6.72.root,3616277722,3.4 GB,1.0031,O,
zjets.6.73,zjets.6.73.hepmc.gz,3556262463,3.3 GB,zjets.6.73.root,3566787454,3.3 GB,1.0030,O,
zjets.6.74,zjets.6.74.hepmc.gz,3558136170,3.3 GB,zjets.6.74.root,3568957891,3.3 GB,1.0030,O,
zjets.6.75,zjets.6.75.hepmc.gz,3548302824,3.3 GB,zjets.6.75.root,3560914666,3.3 GB,1.0036,O,
zjets.6.76,zjets.6.76.hepmc.gz,3586884310,3.3 GB,zjets.6.76.root,3597393228,3.4 GB,1.0029,O,
zjets.6.77,zjets.6.77.hepmc.gz,3557845745,3.3 GB,zjets.6.77.root,3568919536,3.3 GB,1.0031,O,
zjets.6.78,zjets.6.78.hepmc.gz,3549235142,3.3 GB,zjets.6.78.root,3560700499,3.3 GB,1.0032,O,
zjets.6.79,zjets.6.79.hepmc.gz,3549235025,3.3 GB,zjets.6.79.root,3559919836,3.3 GB,1.0030,O,
zjets.6.8,zjets.6.8.hepmc.gz,3551244861,3.3 GB,zjets.6.8.root,3561808368,3.3 GB,1.0030,O,
zjets.6.80,zjets.6.80.hepmc.gz,3551781798,3.3 GB,zjets.6.80.root,3564956921,3.3 GB,1.0037,O,
zjets.6.81,zjets.6.81.hepmc.gz,3551411556,3.3 GB,zjets.6.81.root,3562304788,3.3 GB,1.0031,O,
zjets.6.82,zjets.6.82.hepmc.gz,3556290787,3.3 GB,zjets.6.82.root,3567813899,3.3 GB,1.0032,O,
zjets.6.83,zjets.6.83.hepmc.gz,3554325411,3.3 GB,zjets.6.83.root,3566155054,3.3 GB,1.0033,O,
zjets.6.84,zjets.6.84.hepmc.gz,3556994492,3.3 GB,zjets.6.84.root,3567646575,3.3 GB,1.0030,O,
zjets.6.85,zjets.6.85.hepmc.gz,3565334464,3.3 GB,zjets.6.85.root,3574353559,3.3 GB,1.0025,O,
zjets.6.86,zjets.6.86.hepmc.gz,3555655404,3.3 GB,zjets.6.86.root,3567347187,3.3 GB,1.0033,O,
zjets.6.87,zjets.6.87.hepmc.gz,3557515568,3.3 GB,zjets.6.87.root,3566960634,3.3 GB,1.0027,O,
zjets.6.88,zjets.6.88.hepmc.gz,3549865206,3.3 GB,zjets.6.88.root,3560615531,3.3 GB,1.0030,O,
zjets.6.89,zjets.6.89.hepmc.gz,3555961492,3.3 GB,zjets.6.89.root,3568460937,3.3 GB,1.0035,O,
zjets.6.9,zjets.6.9.hepmc.gz,3546228084,3.3 GB,zjets.6.9.root,3558060761,3.3 GB,1.0033,O,
zjets.6.90,zjets.6.90.hepmc.gz,3557146999,3.3 GB,zjets.6.90.root,3569244207,3.3 GB,1.0034,O,
zjets.6.91,zjets.6.91.hepmc.gz,3544409456,3.3 GB,zjets.6.91.root,3557080385,3.3 GB,1.0036,O,
zjets.6.92,zjets.6.92.hepmc.gz,3565221341,3.3 GB,zjets.6.92.root,3575669908,3.3 GB,1.0029,O,
zjets.6.93,zjets.6.93.hepmc.gz,3567095220,3.3 GB,zjets.6.93.root,3578818723,3.3 GB,1.0033,O,
zjets.6.94,zjets.6.94.hepmc.gz,3557798418,3.3 GB,zjets.6.94.root,3569049329,3.3 GB,1.0032,O,
zjets.6.95,zjets.6.95.hepmc.gz,3576048917,3.3 GB,zjets.6.95.root,3586212247,3.3 GB,1.0028,O,
zjets.6.96,zjets.6.96.hepmc.gz,3563411617,3.3 GB,zjets.6.96.root,3573622561,3.3 GB,1.0029,O,
zjets.6.97,zjets.6.97.hepmc.gz,3558426674,3.3 GB,zjets.6.97.root,3568084746,3.3 GB,1.0027,O,
zjets.6.98,zjets.6.98.hepmc.gz,3534445489,3.3 GB,zjets.6.98.root,3546248136,3.3 GB,1.0033,O,
zjets.6.99,zjets.6.99.hepmc.gz,3560378812,3.3 GB,zjets.6.99.root,3569661069,3.3 GB,1.0026,O,
zjets.7.0,zjets.7.0.hepmc.gz,3665154369,3.4 GB,zjets.7.0.root,3732681980,3.5 GB,1.0184,O,
zjets.7.1,zjets.7.1.hepmc.gz,3683241534,3.4 GB,zjets.7.1.root,3751814917,3.5 GB,1.0186,O,
zjets.7.10,zjets.7.10.hepmc.gz,3687204987,3.4 GB,zjets.7.10.root,3756043919,3.5 GB,1.0187,O,
zjets.7.11,zjets.7.11.hepmc.gz,3682013126,3.4 GB,zjets.7.11.root,3751281328,3.5 GB,1.0188,O,
zjets.7.12,zjets.7.12.hepmc.gz,3663044602,3.4 GB,zjets.7.12.root,3732199995,3.5 GB,1.0189,O,
zjets.7.13,zjets.7.13.hepmc.gz,3661714183,3.4 GB,zjets.7.13.root,3729368127,3.5 GB,1.0185,O,
zjets.7.14,zjets.7.14.hepmc.gz,3652815736,3.4 GB,zjets.7.14.root,3721176974,3.5 GB,1.0187,O,
zjets.7.15,zjets.7.15.hepmc.gz,3685904312,3.4 GB,zjets.7.15.root,3755271809,3.5 GB,1.0188,O,
zjets.7.16,zjets.7.16.hepmc.gz,3666168926,3.4 GB,zjets.7.16.root,3734934174,3.5 GB,1.0188,O,
zjets.7.17,zjets.7.17.hepmc.gz,3668579660,3.4 GB,zjets.7.17.root,3738216220,3.5 GB,1.0190,O,
zjets.7.18,zjets.7.18.hepmc.gz,3685918474,3.4 GB,zjets.7.18.root,3756431826,3.5 GB,1.0191,O,
zjets.7.19,zjets.7.19.hepmc.gz,3635665262,3.4 GB,zjets.7.19.root,3704681515,3.5 GB,1.0190,O,
zjets.7.2,zjets.7.2.hepmc.gz,3696337204,3.4 GB,zjets.7.2.root,3765924444,3.5 GB,1.0188,O,
zjets.7.20,zjets.7.20.hepmc.gz,3656906640,3.4 GB,zjets.7.20.root,3725666550,3.5 GB,1.0188,O,
zjets.7.21,zjets.7.21.hepmc.gz,3654810738,3.4 GB,zjets.7.21.root,3724089322,3.5 GB,1.0190,O,
zjets.7.22,zjets.7.22.hepmc.gz,3680853510,3.4 GB,zjets.7.22.root,3748387382,3.5 GB,1.0183,O,
zjets.7.23,zjets.7.23.hepmc.gz,3665095125,3.4 GB,zjets.7.23.root,3733307163,3.5 GB,1.0186,O,
zjets.7.24,zjets.7.24.hepmc.gz,3668586811,3.4 GB,zjets.7.24.root,3738505326,3.5 GB,1.0191,O,
zjets.7.25,zjets.7.25.hepmc.gz,3655987636,3.4 GB,zjets.7.25.root,3724262609,3.5 GB,1.0187,O,
zjets.7.26,zjets.7.26.hepmc.gz,3648831656,3.4 GB,zjets.7.26.root,3717577427,3.5 GB,1.0188,O,
zjets.7.27,zjets.7.27.hepmc.gz,3675098582,3.4 GB,zjets.7.27.root,3745092304,3.5 GB,1.0190,O,
zjets.7.28,zjets.7.28.hepmc.gz,3661039195,3.4 GB,zjets.7.28.root,3730202484,3.5 GB,1.0189,O,
zjets.7.29,zjets.7.29.hepmc.gz,3669752618,3.4 GB,zjets.7.29.root,3738850492,3.5 GB,1.0188,O,
zjets.7.3,zjets.7.3.hepmc.gz,3669033030,3.4 GB,zjets.7.3.root,3738058516,3.5 GB,1.0188,O,
zjets.7.30,zjets.7.30.hepmc.gz,3673731058,3.4 GB,zjets.7.30.root,3741319022,3.5 GB,1.0184,O,
zjets.7.31,zjets.7.31.hepmc.gz,3656912833,3.4 GB,zjets.7.31.root,3726618152,3.5 GB,1.0191,O,
zjets.7.32,zjets.7.32.hepmc.gz,3673442306,3.4 GB,zjets.7.32.root,3742196909,3.5 GB,1.0187,O,
zjets.7.33,zjets.7.33.hepmc.gz,3666583918,3.4 GB,zjets.7.33.root,3735816838,3.5 GB,1.0189,O,
zjets.7.34,zjets.7.34.hepmc.gz,3659137726,3.4 GB,zjets.7.34.root,3728790866,3.5 GB,1.0190,O,
zjets.7.35,zjets.7.35.hepmc.gz,3666895152,3.4 GB,zjets.7.35.root,3734284773,3.5 GB,1.0184,O,
zjets.7.36,zjets.7.36.hepmc.gz,3671737011,3.4 GB,zjets.7.36.root,3739666377,3.5 GB,1.0185,O,
zjets.7.37,zjets.7.37.hepmc.gz,3659417676,3.4 GB,zjets.7.37.root,3726831407,3.5 GB,1.0184,O,
zjets.7.38,zjets.7.38.hepmc.gz,3685930257,3.4 GB,zjets.7.38.root,3754118972,3.5 GB,1.0185,O,
zjets.7.39,zjets.7.39.hepmc.gz,3671574105,3.4 GB,zjets.7.39.root,3740205499,3.5 GB,1.0187,O,
zjets.7.4,zjets.7.4.hepmc.gz,3668019299,3.4 GB,zjets.7.4.root,3737884812,3.5 GB,1.0190,O,
zjets.7.40,zjets.7.40.hepmc.gz,3679883291,3.4 GB,zjets.7.40.root,3748433462,3.5 GB,1.0186,O,
zjets.7.41,zjets.7.41.hepmc.gz,3643578019,3.4 GB,zjets.7.41.root,3712469055,3.5 GB,1.0189,O,
zjets.7.42,zjets.7.42.hepmc.gz,3664027604,3.4 GB,zjets.7.42.root,3734397629,3.5 GB,1.0192,O,
zjets.7.43,zjets.7.43.hepmc.gz,3642344833,3.4 GB,zjets.7.43.root,3711224577,3.5 GB,1.0189,O,
zjets.7.44,zjets.7.44.hepmc.gz,3687155534,3.4 GB,zjets.7.44.root,3756355302,3.5 GB,1.0188,O,
