sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.08,38,1414.5528161899474,229.47076810685547
sel_ttbar.2_v2.root,0.08,25,285.83132237232303,57.166264474464604
sel_ttbar.3_v2.root,0.08,42,317.05076500754143,48.92199514870763
sel_ttbar.4_v2.root,0.08,201,335.6077041056765,23.671942273930853
sel_ttbar.5_v2.root,0.08,94,583.6381157241235,60.19767526843093
sel_ttbar.6_v2.root,0.08,290,611.194982920181,35.89060520366743
sel_ttbar.7_v2.root,0.08,361,132.19502889447,6.9576330997089455
sel_ttbar.8_v2.root,0.08,348,0.9771468859937885,0.05238057124258292
sel_ttbar.9_v2.root,0.08,204,0.009586637234169627,0.0006711988595904547
sel_wjets.2_v2.root,0.08,0,0.0,0.0
sel_wjets.3_v2.root,0.08,0,0.0,0.0
sel_wjets.4_v2.root,0.08,50,249.283297150776,35.25398197037098
sel_wjets.5_v2.root,0.08,559,1389.2983020729548,58.76105722678322
sel_wjets.6_v2.root,0.08,1713,1927.040752173949,46.559919153009865
sel_wjets.7_v2.root,0.08,568,659.8399343492042,27.686268618278174
sel_wjets.8_v2.root,0.08,989,25.861242383544532,0.8223396654666721
sel_ww2l2v.0_v2.root,0.08,6,10.753346724271617,4.390035416949069
sel_wwlv2q.1_v2.root,0.08,2,25.728658750000005,18.192909072959605
sel_wwlv2q.2_v2.root,0.08,8,21.98438688,7.772654521538283
sel_wwlv2q.3_v2.root,0.08,33,6.108654420000001,1.0633802424770131
sel_wwlv2q.4_v2.root,0.08,680,6.638704271999998,0.2545826873967735
sel_wwlv2q.5_v2.root,0.08,6075,8.296086205102043,0.10643883563857788
sel_wwlv2q.6_v2.root,0.08,13737,4.845281559061226,0.04134024725715866
sel_wwlv2q.7_v2.root,0.08,18717,0.5991859802516328,0.004379691526182418
sel_wz2l2q.1_v2.root,0.08,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.08,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.08,2,0.02401248979591837,0.016979394367866656
sel_wz2l2q.4_v2.root,0.08,23,0.014096756326530612,0.0029393768855318927
sel_wz2l2q.5_v2.root,0.08,241,0.01963033205999999,0.0012645008474897672
sel_wz2l2q.6_v2.root,0.08,1014,0.021282514897959175,0.0006683500249125796
sel_wz2l2q.7_v2.root,0.08,3089,0.005619849220408165,0.0001011150287152646
sel_wz2l2q.8_v2.root,0.08,298,3.310267439999999e-05,1.917586441295495e-06
sel_wz2l2q.9_v2.root,0.08,652,5.78309004e-08,2.2648328535256373e-09
sel_wz3l1v.0_v2.root,0.08,6,0.5553492352941176,0.22672037591923713
sel_wzlv2q.1_v2.root,0.08,6,12.218292,4.988096821388295
sel_wzlv2q.2_v2.root,0.08,12,10.14408,2.9283436593405496
sel_wzlv2q.3_v2.root,0.08,48,2.0035785600000002,0.28919165523964074
sel_wzlv2q.4_v2.root,0.08,500,1.0199961,0.045615612327693476
sel_wzlv2q.5_v2.root,0.08,5175,1.4195572515000006,0.019733209901132934
sel_wzlv2q.6_v2.root,0.08,12391,0.874025990020408,0.007851835069344639
sel_wzlv2q.7_v2.root,0.08,17035,0.10378945738775511,0.0007952106220136575
sel_wzlv2q.9_v2.root,0.08,999,2.803975218e-07,8.871384993521853e-09
sel_zjets.1_v2.root,0.08,0,0.0,0.0
sel_zjets.2_v2.root,0.08,0,0.0,0.0
sel_zjets.3_v2.root,0.08,8,132.26789648412895,46.763763268603945
sel_zjets.4_v2.root,0.08,202,872.9393114757233,61.41979562528706
sel_zjets.5_v2.root,0.08,1612,3944.602787062951,98.24733041064961
sel_zjets.6_v2.root,0.08,4682,5103.576593909043,74.58627744415558
sel_zjets.7_v2.root,0.08,5646,1445.6101133565392,19.238922312492967
sel_zjets.8_v2.root,0.08,6406,37.67682385046036,0.4707396905935676
sel_zz4l.0_v2.root,0.08,0,0.0,0.0
TOTAL,,104787,19582.432171774853,305.71277732430843
