sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.167,1,3.7225074110261756,3.7225074110261756
sel_ttbar.2_v2.root,0.167,0,0.0,0.0
sel_ttbar.3_v2.root,0.167,0,0.0,0.0
sel_ttbar.4_v2.root,0.167,0,0.0,0.0
sel_ttbar.5_v2.root,0.167,0,0.0,0.0
sel_ttbar.6_v2.root,0.167,1,0.21075689066213144,0.21075689066213144
sel_ttbar.7_v2.root,0.167,8,0.29295297261932396,0.10357451675394047
sel_ttbar.8_v2.root,0.167,5,0.001403946675278432,0.0006278640405414795
sel_ttbar.9_v2.root,0.167,2,9.398663955068263e-06,6.645859016722345e-06
sel_wjets.2_v2.root,0.167,0,0.0,0.0
sel_wjets.3_v2.root,0.167,0,0.0,0.0
sel_wjets.4_v2.root,0.167,0,0.0,0.0
sel_wjets.5_v2.root,0.167,0,0.0,0.0
sel_wjets.6_v2.root,0.167,9,1.0124557366938434,0.33748524556461446
sel_wjets.7_v2.root,0.167,25,2.9042250631567086,0.5808450126313418
sel_wjets.8_v2.root,0.167,10,0.026148880064251295,0.008269001926560415
sel_ww2l2v.0_v2.root,0.167,0,0.0,0.0
sel_wwlv2q.1_v2.root,0.167,0,0.0,0.0
sel_wwlv2q.2_v2.root,0.167,0,0.0,0.0
sel_wwlv2q.3_v2.root,0.167,0,0.0,0.0
sel_wwlv2q.4_v2.root,0.167,5,0.0048814001999999985,0.0021830285345162135
sel_wwlv2q.5_v2.root,0.167,5,0.0006828054489795919,0.00030535987986512634
sel_wwlv2q.6_v2.root,0.167,360,0.012697833306122449,0.0006692345766082168
sel_wwlv2q.7_v2.root,0.167,2647,0.008473822138836734,0.00016470332757058035
sel_wz2l2q.1_v2.root,0.167,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.167,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.167,1,0.0012006244897959184,0.0012006244897959184
sel_wz2l2q.4_v2.root,0.167,0,0.0,0.0
sel_wz2l2q.5_v2.root,0.167,0,0.0,0.0
sel_wz2l2q.6_v2.root,0.167,12,2.518640816326531e-05,7.270689766490507e-06
sel_wz2l2q.7_v2.root,0.167,161,2.9290894285714294e-05,2.308445859462084e-06
sel_wz2l2q.8_v2.root,0.167,13,1.4440764000000002e-07,4.005147312221112e-08
sel_wz2l2q.9_v2.root,0.167,26,2.3061402e-10,4.522713031107988e-11
sel_wz3l1v.0_v2.root,0.167,0,0.0,0.0
sel_wzlv2q.1_v2.root,0.167,0,0.0,0.0
sel_wzlv2q.2_v2.root,0.167,0,0.0,0.0
sel_wzlv2q.3_v2.root,0.167,1,0.004174122,0.004174122
sel_wzlv2q.4_v2.root,0.167,1,0.00020399922000000003,0.00020399922000000003
sel_wzlv2q.5_v2.root,0.167,6,0.000164586348,6.719209520469045e-05
sel_wzlv2q.6_v2.root,0.167,246,0.001735214216326531,0.00011063321765062456
sel_wzlv2q.7_v2.root,0.167,1984,0.0012087953240816325,2.7138256158779365e-05
sel_wzlv2q.9_v2.root,0.167,131,3.6768844199999997e-09,3.212508833627768e-10
sel_zjets.1_v2.root,0.167,0,0.0,0.0
sel_zjets.2_v2.root,0.167,0,0.0,0.0
sel_zjets.3_v2.root,0.167,0,0.0,0.0
sel_zjets.4_v2.root,0.167,0,0.0,0.0
sel_zjets.5_v2.root,0.167,1,0.2447024061453444,0.2447024061453444
sel_zjets.6_v2.root,0.167,33,3.59713856469454,0.6261814494898689
sel_zjets.7_v2.root,0.167,443,11.342636914929981,0.5389049430662579
sel_zjets.8_v2.root,0.167,56,0.03293634304754574,0.0044013039734703595
sel_zz4l.0_v2.root,0.167,0,0.0,0.0
TOTAL,,6193,23.42335235668881,3.8866435654900577
