sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.163,0,0.0,0.0
sel_ttbar.2_v2.root,0.163,1,11.433252894892922,11.433252894892922
sel_ttbar.3_v2.root,0.163,2,15.097655476549592,10.675654567486433
sel_ttbar.4_v2.root,0.163,2,3.3393801403549888,2.361298342204697
sel_ttbar.5_v2.root,0.163,3,18.62674837417415,10.754158187956868
sel_ttbar.6_v2.root,0.163,4,8.430275626485258,4.215137813242629
sel_ttbar.7_v2.root,0.163,0,0.0,0.0
sel_ttbar.8_v2.root,0.163,0,0.0,0.0
sel_ttbar.9_v2.root,0.163,0,0.0,0.0
sel_wjets.2_v2.root,0.163,0,0.0,0.0
sel_wjets.3_v2.root,0.163,0,0.0,0.0
sel_wjets.4_v2.root,0.163,0,0.0,0.0
sel_wjets.5_v2.root,0.163,25,62.133197767126774,12.426639553425353
sel_wjets.6_v2.root,0.163,95,106.8703277621279,10.964664276418832
sel_wjets.7_v2.root,0.163,5,5.808450126313418,2.5976178652708084
sel_wjets.8_v2.root,0.163,0,0.0,0.0
sel_ww2l2v.0_v2.root,0.163,0,0.0,0.0
sel_wwlv2q.1_v2.root,0.163,0,0.0,0.0
sel_wwlv2q.2_v2.root,0.163,0,0.0,0.0
sel_wwlv2q.3_v2.root,0.163,1,0.18511074000000002,0.18511074000000002
sel_wwlv2q.4_v2.root,0.163,12,0.11715360479999996,0.03381933263390751
sel_wwlv2q.5_v2.root,0.163,500,0.6828054489795918,0.030535987986512643
sel_wwlv2q.6_v2.root,0.163,250,0.08817939795918368,0.005576954805068473
sel_wwlv2q.7_v2.root,0.163,23,0.0007362973524489797,0.00015352861101767444
sel_wz2l2q.1_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.4_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.5_v2.root,0.163,14,0.0011403512399999999,0.00030477168861877313
sel_wz2l2q.6_v2.root,0.163,11,0.0002308754081632653,6.96115547452461e-05
sel_wz2l2q.7_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.8_v2.root,0.163,0,0.0,0.0
sel_wz2l2q.9_v2.root,0.163,0,0.0,0.0
sel_wz3l1v.0_v2.root,0.163,0,0.0,0.0
sel_wzlv2q.1_v2.root,0.163,1,2.036382,2.036382
sel_wzlv2q.2_v2.root,0.163,0,0.0,0.0
sel_wzlv2q.3_v2.root,0.163,6,0.25044732000000003,0.10224469024125606
sel_wzlv2q.4_v2.root,0.163,4,0.0081599688,0.0040799844
sel_wzlv2q.5_v2.root,0.163,395,0.10835267910000003,0.0054518149499478506
sel_wzlv2q.6_v2.root,0.163,183,0.01290830087755102,0.0009542090580567294
sel_wzlv2q.7_v2.root,0.163,16,9.748349387755103e-05,2.4370873469387757e-05
sel_wzlv2q.9_v2.root,0.163,0,0.0,0.0
sel_zjets.1_v2.root,0.163,0,0.0,0.0
sel_zjets.2_v2.root,0.163,0,0.0,0.0
sel_zjets.3_v2.root,0.163,0,0.0,0.0
sel_zjets.4_v2.root,0.163,0,0.0,0.0
sel_zjets.5_v2.root,0.163,69,168.84466024028762,20.32650846200388
sel_zjets.6_v2.root,0.163,306,333.55284872622104,19.067947208933393
sel_zjets.7_v2.root,0.163,30,7.681243960449196,1.4023968622794483
sel_zjets.8_v2.root,0.163,0,0.0,0.0
sel_zz4l.0_v2.root,0.163,0,0.0,0.0
TOTAL,,1958,745.3097455629937,38.05247376094105
