sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.107,100,3722.5074110261744,372.25074110261755
sel_ttbar.2_v2.root,0.107,58,663.1286679037894,87.0730599094662
sel_ttbar.3_v2.root,0.107,111,837.9198789485023,79.53183529039372
sel_ttbar.4_v2.root,0.107,1379,2302.502606774765,62.00375584663902
sel_ttbar.5_v2.root,0.107,168,1043.0979089537523,80.47675084500857
sel_ttbar.6_v2.root,0.107,40,84.30275626485258,13.329436141348161
sel_ttbar.7_v2.root,0.107,5,1.8309560788707753,0.8188284512343039
sel_ttbar.8_v2.root,0.107,1,0.0028078933505568636,0.0028078933505568636
sel_ttbar.9_v2.root,0.107,0,0.0,0.0
sel_wjets.2_v2.root,0.107,0,0.0,0.0
sel_wjets.3_v2.root,0.107,10,256.369331065796,81.07110083816781
sel_wjets.4_v2.root,0.107,946,4716.439982092682,153.34469078189898
sel_wjets.5_v2.root,0.107,1606,3991.4366245602237,99.5993415979751
sel_wjets.6_v2.root,0.107,726,816.7142942663671,30.311110402876793
sel_wjets.7_v2.root,0.107,42,48.79098106103272,7.528611825654329
sel_wjets.8_v2.root,0.107,0,0.0,0.0
sel_ww2l2v.0_v2.root,0.107,6,10.753346724271617,4.390035416949069
sel_wwlv2q.1_v2.root,0.107,3,38.592988125000005,22.281672082800785
sel_wwlv2q.2_v2.root,0.107,12,32.97658032,9.519518762352659
sel_wwlv2q.3_v2.root,0.107,93,17.215298819999997,1.785143328668969
sel_wwlv2q.4_v2.root,0.107,3775,36.854571509999985,0.5998364989558875
sel_wwlv2q.5_v2.root,0.107,1140,1.55679642367347,0.04610833072311741
sel_wwlv2q.6_v2.root,0.107,255,0.08994298591836736,0.005632448259481118
sel_wwlv2q.7_v2.root,0.107,171,0.005474210750816328,0.0004186233589202155
sel_wz2l2q.1_v2.root,0.107,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.107,1,0.16804961538461538,0.16804961538461538
sel_wz2l2q.3_v2.root,0.107,4,0.04802497959183674,0.02401248979591837
sel_wz2l2q.4_v2.root,0.107,153,0.09377407469387755,0.00758118460602779
sel_wz2l2q.5_v2.root,0.107,64,0.005213034239999999,0.00065162928
sel_wz2l2q.6_v2.root,0.107,6,0.00012593204081632651,5.141154037789073e-05
sel_wz2l2q.7_v2.root,0.107,20,3.638620408163265e-05,8.136202576971094e-06
sel_wz2l2q.8_v2.root,0.107,2,2.221656e-07,1.5709480230637805e-07
sel_wz2l2q.9_v2.root,0.107,1,8.86977e-11,8.86977e-11
sel_wz3l1v.0_v2.root,0.107,11,1.0181402647058824,0.30698084018023075
sel_wzlv2q.1_v2.root,0.107,12,24.436584,7.054234175237452
sel_wzlv2q.2_v2.root,0.107,27,22.82418,4.392515489010824
sel_wzlv2q.3_v2.root,0.107,123,5.134170060000001,0.46293252423206704
sel_wzlv2q.4_v2.root,0.107,3037,6.1954563114,0.11242189533492475
sel_wzlv2q.5_v2.root,0.107,1184,0.3247837267200001,0.009438835333404472
sel_wzlv2q.6_v2.root,0.107,285,0.020103091530612245,0.0011908043707646477
sel_wzlv2q.7_v2.root,0.107,195,0.001188080081632653,8.508018180071266e-05
sel_wzlv2q.9_v2.root,0.107,5,1.4033909999999998e-09,6.276155350022814e-10
sel_zjets.1_v2.root,0.107,0,0.0,0.0
sel_zjets.2_v2.root,0.107,1,46.69599240234807,46.69599240234807
sel_zjets.3_v2.root,0.107,25,413.33717651290294,82.6674353025806
sel_zjets.4_v2.root,0.107,3112,13448.451174814116,241.07516708063494
sel_zjets.5_v2.root,0.107,3607,8826.415789662571,146.96411743584522
sel_zjets.6_v2.root,0.107,1638,1785.4887784756538,44.116411231704745
sel_zjets.7_v2.root,0.107,165,42.2468417824706,3.288912172181226
sel_zjets.8_v2.root,0.107,5,0.02940744914959441,0.013151411068672297
sel_zz4l.0_v2.root,0.107,0,0.0,0.0
TOTAL,,24330,43246.02419688923,543.4391018641886
