sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.147,1,3.7225074110261756,3.7225074110261756
sel_ttbar.2_v2.root,0.147,0,0.0,0.0
sel_ttbar.3_v2.root,0.147,0,0.0,0.0
sel_ttbar.4_v2.root,0.147,1,0.16696900701774947,0.16696900701774947
sel_ttbar.5_v2.root,0.147,0,0.0,0.0
sel_ttbar.6_v2.root,0.147,7,1.4752982346349204,0.5576103197852309
sel_ttbar.7_v2.root,0.147,29,1.0619545257450493,0.19720000478687766
sel_ttbar.8_v2.root,0.147,24,0.006738944041336474,0.001375581192203626
sel_ttbar.9_v2.root,0.147,11,5.169265175287544e-05,1.5585920934799564e-05
sel_wjets.2_v2.root,0.147,0,0.0,0.0
sel_wjets.3_v2.root,0.147,0,0.0,0.0
sel_wjets.4_v2.root,0.147,0,0.0,0.0
sel_wjets.5_v2.root,0.147,0,0.0,0.0
sel_wjets.6_v2.root,0.147,45,5.062278683469216,0.7546399504856875
sel_wjets.7_v2.root,0.147,75,8.712675189470128,1.0060530732004702
sel_wjets.8_v2.root,0.147,41,0.1072104082634303,0.01674345277211321
sel_ww2l2v.0_v2.root,0.147,0,0.0,0.0
sel_wwlv2q.1_v2.root,0.147,1,1.2864329375,1.2864329375
sel_wwlv2q.2_v2.root,0.147,0,0.0,0.0
sel_wwlv2q.3_v2.root,0.147,1,0.018511074000000002,0.018511074000000002
sel_wwlv2q.4_v2.root,0.147,10,0.009762800399999997,0.003087268560560291
sel_wwlv2q.5_v2.root,0.147,20,0.0027312217959183675,0.0006107197597302528
sel_wwlv2q.6_v2.root,0.147,1189,0.041938121669387755,0.001216236542839526
sel_wwlv2q.7_v2.root,0.147,6703,0.02145826588463265,0.0002620957704069696
sel_wz2l2q.1_v2.root,0.147,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.147,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.147,1,0.0012006244897959184,0.0012006244897959184
sel_wz2l2q.4_v2.root,0.147,0,0.0,0.0
sel_wz2l2q.5_v2.root,0.147,1,8.145366000000002e-06,8.145366000000002e-06
sel_wz2l2q.6_v2.root,0.147,43,9.025129591836733e-05,1.376319359821586e-05
sel_wz2l2q.7_v2.root,0.147,412,7.495558040816328e-05,3.692796396898058e-06
sel_wz2l2q.8_v2.root,0.147,33,3.6657324000000003e-07,6.381221035528547e-08
sel_wz2l2q.9_v2.root,0.147,66,5.8540482e-10,7.205835212028791e-11
sel_wz3l1v.0_v2.root,0.147,0,0.0,0.0
sel_wzlv2q.1_v2.root,0.147,0,0.0,0.0
sel_wzlv2q.2_v2.root,0.147,0,0.0,0.0
sel_wzlv2q.3_v2.root,0.147,3,0.012522366,0.0072297913809910175
sel_wzlv2q.4_v2.root,0.147,6,0.00122399532,0.000499693996925769
sel_wzlv2q.5_v2.root,0.147,29,0.0007955006820000003,0.00014772076816406543
sel_wzlv2q.6_v2.root,0.147,916,0.006461204155102043,0.00021348419435145702
sel_wzlv2q.7_v2.root,0.147,5080,0.003095100930612245,4.342531322711884e-05
sel_wzlv2q.9_v2.root,0.147,281,7.887057420000001e-09,4.705023995626636e-10
sel_zjets.1_v2.root,0.147,0,0.0,0.0
sel_zjets.2_v2.root,0.147,0,0.0,0.0
sel_zjets.3_v2.root,0.147,0,0.0,0.0
sel_zjets.4_v2.root,0.147,0,0.0,0.0
sel_zjets.5_v2.root,0.147,1,0.2447024061453444,0.2447024061453444
sel_zjets.6_v2.root,0.147,172,18.748722215983662,1.429576666750326
sel_zjets.7_v2.root,0.147,1082,27.70368655068677,0.8422168663704149
sel_zjets.8_v2.root,0.147,301,0.17703284388055834,0.010204003483168364
sel_zz4l.0_v2.root,0.147,0,0.0,0.0
TOTAL,,16585,68.59613505313156,4.503885388460992
